application_id,client_id,product,channel,region,amount_requested,submitted_at,source_system,is_test
APP-202346,CL-435172,Кредит наличными,Партнёрская сеть,Сибирский,5000000,2025-03-20 17:25:00,АБС,false
APP-201366,CL-413395,Кредит для бизнеса,Корпоративный менеджер,Приволжский,150000,2025-05-08 08:31:00,АБС,false
APP-200920,CL-416523,Автокредит,Партнёрская сеть,Южный,5000000,2025-02-07 16:36:00,CRM,false
APP-202747,CL-452516,Кредит наличными,Мобильное приложение,Северо-Западный,2500000,2025-01-23 11:58:00,АБС,false
APP-200141,CL-421307,Кредит наличными,Мобильное приложение,Сибирский,500000,2025-05-13 08:32:00,CRM,false
APP-200742,CL-442693,Кредитная карта,Мобильное приложение,Центральный,150000,2025-01-11 17:10:00,АБС,false
APP-200865,CL-421281,Кредитная карта,Отделение,Сибирский,300000,2025-02-16 17:19:00,CRM,false
APP-202586,CL-427304,Кредит для бизнеса,Партнёрская сеть,Центральный,300000,2025-02-19 14:36:00,АБС,false
APP-200768,CL-423367,Кредитная карта,Мобильное приложение,Северо-Западный,500000,2025-04-08 08:40:00,АБС,false
APP-200079,CL-418657,Кредит наличными,Партнёрская сеть,Приволжский,2500000,2025-04-01 16:43:00,АБС,false
APP-201984,CL-446562,Кредит для бизнеса,Отделение,Центральный,150000,2025-02-12 10:20:00,АБС,false
APP-201551,CL-453150,Кредитная карта,Партнёрская сеть,Центральный,500000,2025-01-15 17:46:00,АБС,false
APP-202994,CL-459650,Кредитная карта,Отделение,Северо-Западный,2500000,2025-01-25 14:49:00,АБС,false
APP-200034,CL-423453,Кредит наличными,Партнёрская сеть,Центральный,1200000,2025-02-13 19:51:00,АБС,false
APP-201035,CL-449098,Кредит наличными,Отделение,Северо-Западный,1200000,2025-05-09 17:29:00,АБС,false
APP-200795,CL-414762,Кредит для бизнеса,Корпоративный менеджер,Приволжский,800000,2025-03-10 15:41:00,CRM,false
APP-203312,CL-422302,Кредит наличными,Корпоративный менеджер,Центральный,1200000,2025-05-14 14:48:00,АБС,false
APP-202336,CL-405875,Автокредит,Мобильное приложение,Южный,500000,2025-05-07 13:36:00,CRM,false
APP-200091,CL-430946,Кредитная карта,Корпоративный менеджер,Сибирский,500000,2025-02-11 17:28:00,АБС,false
APP-201981,CL-443347,Кредитная карта,Мобильное приложение,Центральный,800000,2025-03-11 15:01:00,АБС,false
APP-202331,CL-458707,Кредит наличными,Партнёрская сеть,Сибирский,500000,2025-07-20 12:26:00,CRM,false
APP-200536,CL-407229,Кредит для бизнеса,Мобильное приложение,Южный,500000,2025-06-21 14:45:00,CRM,false
APP-202209,CL-438205,Кредит для бизнеса,Отделение,Южный,800000,2025-05-16 18:22:00,CRM,false
APP-200434,CL-441982,Кредит для бизнеса,Отделение,Приволжский,500000,2025-04-16 12:32:00,АБС,false
APP-200843,CL-428096,Кредитная карта,Партнёрская сеть,Приволжский,2500000,2025-04-25 09:40:00,АБС,false
APP-200149,CL-420551,Автокредит,Отделение,Центральный,150000,2025-07-26 19:44:00,CRM,false
APP-201428,CL-452499,Кредитная карта,Мобильное приложение,Приволжский,150000,2025-02-05 18:02:00,АБС,false
APP-203249,CL-453390,Кредит наличными,Мобильное приложение,Северо-Западный,800000,2025-05-04 17:48:00,CRM,false
APP-200365,CL-439548,Кредит наличными,Мобильное приложение,Приволжский,1200000,2025-03-25 19:09:00,АБС,false
APP-201338,CL-443706,Автокредит,Мобильное приложение,Сибирский,2500000,2025-02-14 11:28:00,CRM,false
APP-202247,CL-447367,Кредит наличными,Мобильное приложение,Сибирский,5000000,2025-04-28 15:48:00,CRM,false
APP-200852,CL-424988,Автокредит,Мобильное приложение,Сибирский,500000,2025-01-14 18:47:00,CRM,false
APP-203458,CL-415032,Кредит наличными,Отделение,Северо-Западный,1200000,2025-03-27 19:40:00,АБС,false
APP-202280,CL-438588,Кредит наличными,Отделение,Северо-Западный,500000,2025-06-21 08:47:00,АБС,false
APP-201668,CL-434180,Кредит наличными,Партнёрская сеть,Центральный,150000,2025-04-27 14:51:00,CRM,false
APP-203221,CL-431765,Кредит для бизнеса,Отделение,Приволжский,5000000,2025-05-20 16:07:00,CRM,false
APP-202155,CL-424775,Кредитная карта,Отделение,Северо-Западный,150000,2025-03-28 10:25:00,CRM,false
APP-201905,CL-439844,Кредит для бизнеса,Мобильное приложение,Северо-Западный,500000,2025-03-20 11:10:00,АБС,false
APP-203377,CL-438836,Кредит для бизнеса,Отделение,Центральный,500000,2025-06-19 14:41:00,АБС,false
APP-201329,CL-400142,Кредит для бизнеса,Корпоративный менеджер,Приволжский,1200000,2025-07-09 18:40:00,CRM,false
APP-201032,CL-433381,Кредит наличными,Корпоративный менеджер,Центральный,800000,2025-03-01 13:42:00,АБС,false
APP-203264,CL-405848,Кредит наличными,Корпоративный менеджер,Центральный,500000,2025-04-02 08:35:00,АБС,false
APP-202082,CL-406645,Кредит для бизнеса,Мобильное приложение,Приволжский,500000,2025-05-02 14:27:00,АБС,false
APP-202431,CL-437066,Автокредит,Отделение,Северо-Западный,500000,2025-01-31 18:26:00,АБС,false
APP-202712,CL-431217,Автокредит,Отделение,Сибирский,300000,2025-06-03 18:23:00,CRM,false
APP-200044,CL-451895,Кредит наличными,Отделение,Южный,150000,2025-05-23 13:21:00,CRM,false
APP-200804,CL-419875,Кредит для бизнеса,Партнёрская сеть,Центральный,1200000,2025-03-11 08:35:00,АБС,false
APP-202459,CL-442664,Автокредит,Корпоративный менеджер,Приволжский,2500000,2025-02-03 19:35:00,CRM,false
APP-202541,CL-448932,Кредитная карта,Отделение,Приволжский,500000,2025-04-24 14:40:00,АБС,false
APP-202566,CL-428826,Кредит наличными,Корпоративный менеджер,Приволжский,500000,2025-06-12 15:12:00,CRM,false
APP-200411,CL-458229,Кредит для бизнеса,Отделение,Центральный,500000,2025-06-27 14:57:00,АБС,false
APP-201753,CL-409333,Кредитная карта,Мобильное приложение,Центральный,800000,2025-03-20 09:40:00,CRM,false
APP-201302,CL-417129,Кредит для бизнеса,Мобильное приложение,Приволжский,150000,2025-03-16 15:59:00,АБС,false
APP-200094,CL-418406,Автокредит,Корпоративный менеджер,Северо-Западный,150000,2025-06-21 18:27:00,АБС,false
APP-201871,CL-455301,Кредитная карта,Партнёрская сеть,Южный,800000,2025-05-31 17:47:00,АБС,false
APP-202516,CL-409376,Кредит наличными,Отделение,Приволжский,1200000,2025-01-22 14:09:00,CRM,false
APP-203325,CL-448137,Кредит наличными,Отделение,Центральный,2500000,2025-03-06 15:15:00,АБС,false
APP-202632,CL-408260,Кредит для бизнеса,Корпоративный менеджер,Южный,800000,2025-06-20 16:24:00,CRM,false
APP-201537,CL-413113,Кредит наличными,Отделение,Центральный,500000,2025-03-20 17:12:00,CRM,false
APP-200553,CL-TEST,Кредит наличными,Отделение,Сибирский,5000000,2025-05-03 09:13:00,АБС,true
APP-201595,CL-429730,Кредит наличными,Мобильное приложение,Приволжский,300000,2025-01-31 08:33:00,АБС,false
APP-202131,CL-405979,Автокредит,Партнёрская сеть,Сибирский,500000,2025-07-09 12:03:00,CRM,false
APP-201167,CL-457282,Кредитная карта,Корпоративный менеджер,Центральный,800000,2025-06-05 08:58:00,АБС,false
APP-201723,CL-430370,Кредит наличными,Отделение,Сибирский,2500000,2025-07-10 09:36:00,CRM,false
APP-203413,CL-411406,Кредит для бизнеса,Партнёрская сеть,Сибирский,500000,2025-02-05 11:53:00,CRM,false
APP-200898,CL-447979,Кредит наличными,Партнёрская сеть,Сибирский,2500000,2025-06-11 19:28:00,АБС,false
APP-201024,CL-438097,Кредитная карта,Партнёрская сеть,Центральный,1200000,2025-06-28 10:11:00,АБС,false
APP-200440,CL-416867,Кредит для бизнеса,Корпоративный менеджер,Южный,2500000,2025-08-01 16:02:00,АБС,false
APP-202361,CL-459306,Кредит для бизнеса,Отделение,Центральный,5000000,2025-05-23 08:05:00,АБС,false
APP-201647,CL-421610,Кредит для бизнеса,Партнёрская сеть,Сибирский,2500000,2025-03-30 09:53:00,АБС,false
APP-201468,CL-421982,Кредит для бизнеса,Партнёрская сеть,Сибирский,2500000,2025-04-10 17:29:00,CRM,false
APP-203116,CL-430397,Кредит для бизнеса,Мобильное приложение,Центральный,300000,2025-03-04 16:46:00,CRM,false
APP-200809,CL-458573,Кредит для бизнеса,Мобильное приложение,Северо-Западный,300000,2025-01-09 13:06:00,АБС,false
APP-201716,CL-420393,Кредит наличными,Корпоративный менеджер,Северо-Западный,150000,2025-01-24 12:21:00,АБС,false
APP-200900,CL-442467,Кредитная карта,Мобильное приложение,Центральный,150000,2025-02-27 19:08:00,АБС,false
APP-202242,CL-417957,Кредит наличными,Мобильное приложение,Центральный,150000,2025-07-11 15:15:00,АБС,false
APP-201620,CL-416054,Кредит для бизнеса,Партнёрская сеть,Центральный,300000,2025-05-25 15:00:00,АБС,false
APP-200550,CL-434407,Кредит наличными,Мобильное приложение,Сибирский,150000,2025-02-01 17:19:00,АБС,false
APP-203432,CL-401201,Кредит наличными,Мобильное приложение,Приволжский,5000000,2025-06-20 13:06:00,АБС,false
APP-201263,CL-435654,Кредит для бизнеса,Партнёрская сеть,Приволжский,5000000,2025-06-18 08:26:00,CRM,false
APP-201830,CL-415832,Кредит наличными,Корпоративный менеджер,Приволжский,300000,2025-04-11 10:43:00,АБС,false
APP-200171,CL-448067,Автокредит,Мобильное приложение,Приволжский,2500000,2025-08-03 11:02:00,АБС,false
APP-203261,CL-416452,Кредитная карта,Мобильное приложение,Южный,800000,2025-05-03 08:31:00,АБС,false
APP-200071,CL-428242,Кредит наличными,Партнёрская сеть,Приволжский,300000,2025-03-15 14:52:00,АБС,false
APP-202101,CL-437716,Кредит для бизнеса,Мобильное приложение,Приволжский,500000,2025-03-23 12:41:00,АБС,false
APP-200575,CL-436791,Кредитная карта,Мобильное приложение,Центральный,300000,2025-02-18 11:19:00,CRM,false
APP-201381,CL-436138,Кредит наличными,Мобильное приложение,Северо-Западный,150000,2025-01-19 17:25:00,АБС,false
APP-203469,CL-415571,Кредитная карта,Мобильное приложение,Приволжский,500000,2025-02-13 17:11:00,CRM,false
APP-201731,CL-436595,Автокредит,Корпоративный менеджер,Сибирский,1200000,2025-07-06 14:00:00,АБС,false
APP-201045,CL-451833,Кредит наличными,Отделение,Центральный,800000,2025-05-17 17:52:00,АБС,false
APP-201429,CL-449058,Кредит наличными,Партнёрская сеть,Сибирский,5000000,2025-08-01 19:07:00,АБС,false
APP-203096,CL-457560,Кредит для бизнеса,Партнёрская сеть,Северо-Западный,500000,2025-02-03 09:56:00,CRM,false
APP-201251,CL-452137,Кредитная карта,Мобильное приложение,Сибирский,150000,2025-04-23 14:26:00,CRM,false
APP-202895,CL-426029,Автокредит,Отделение,Центральный,300000,2025-02-19 08:15:00,CRM,false
APP-200426,CL-410265,Кредит наличными,Отделение,Приволжский,500000,2025-07-14 08:35:00,АБС,false
APP-202119,CL-400492,Автокредит,Мобильное приложение,Приволжский,150000,2025-02-25 12:16:00,CRM,false
APP-201580,CL-426109,Кредитная карта,Отделение,Центральный,300000,2025-05-26 08:07:00,АБС,false
APP-203384,CL-434969,Кредитная карта,Мобильное приложение,Центральный,800000,2025-04-04 10:49:00,АБС,false
APP-201778,CL-418836,Кредит наличными,Отделение,Центральный,2500000,2025-02-16 11:47:00,АБС,false
APP-203514,CL-414680,Кредит наличными,Мобильное приложение,Южный,2500000,2025-01-10 11:32:00,CRM,false
APP-201933,CL-444752,Кредит наличными,Отделение,Приволжский,1200000,2025-05-01 12:21:00,CRM,false
APP-202965,CL-406457,Кредит наличными,Отделение,Центральный,1200000,2025-02-17 11:39:00,CRM,false
APP-203150,CL-445522,Автокредит,Партнёрская сеть,Сибирский,800000,2025-05-27 18:48:00,АБС,false
APP-202471,CL-447621,Кредит наличными,Мобильное приложение,Центральный,1200000,2025-04-01 19:46:00,CRM,false
APP-202074,CL-441491,Кредитная карта,Мобильное приложение,Южный,1200000,2025-02-25 16:05:00,CRM,false
APP-202807,CL-456798,Кредит наличными,Мобильное приложение,Центральный,800000,2025-03-27 14:58:00,АБС,false
APP-202742,CL-410668,Кредит для бизнеса,Корпоративный менеджер,Южный,500000,2025-04-07 18:41:00,АБС,false
APP-200498,CL-441780,Автокредит,Отделение,Северо-Западный,1200000,2025-07-10 19:02:00,CRM,false
APP-202281,CL-402322,Автокредит,Партнёрская сеть,Северо-Западный,300000,2025-02-01 18:47:00,CRM,false
APP-202768,CL-456066,Кредит наличными,Отделение,Центральный,150000,2025-07-10 08:32:00,АБС,false
APP-201348,CL-430931,Кредит наличными,Корпоративный менеджер,Центральный,150000,2025-01-09 12:24:00,CRM,false
APP-200372,CL-428762,Кредитная карта,Мобильное приложение,Южный,150000,2025-04-30 09:08:00,АБС,false
APP-201888,CL-448887,Кредит для бизнеса,Партнёрская сеть,Сибирский,150000,2025-05-03 14:46:00,АБС,false
APP-201547,CL-432741,Кредит для бизнеса,Отделение,Сибирский,150000,2025-05-17 12:15:00,АБС,false
APP-202570,CL-408743,Кредит наличными,Отделение,Центральный,2500000,2025-05-05 16:47:00,АБС,false
APP-201539,CL-449433,Кредит для бизнеса,Партнёрская сеть,Центральный,2500000,2025-06-01 12:56:00,АБС,false
APP-201757,CL-459486,Кредитная карта,Отделение,Центральный,300000,2025-03-16 16:57:00,АБС,false
APP-201808,CL-453412,Кредит для бизнеса,Мобильное приложение,Сибирский,800000,2025-02-25 11:35:00,АБС,false
APP-202662,CL-453020,Кредитная карта,Партнёрская сеть,Южный,2500000,2025-07-18 19:05:00,АБС,false
APP-203206,CL-417670,Кредитная карта,Мобильное приложение,Центральный,500000,2025-07-12 18:52:00,АБС,false
APP-203280,CL-410696,Кредит наличными,Мобильное приложение,Южный,150000,2025-06-18 15:30:00,АБС,false
APP-200906,CL-437798,Кредит для бизнеса,Отделение,Южный,800000,2025-06-27 08:38:00,CRM,false
APP-201412,CL-450823,Кредит наличными,Отделение,Сибирский,300000,2025-01-14 17:08:00,CRM,false
APP-200245,CL-403919,Кредит наличными,Мобильное приложение,Южный,5000000,2025-04-26 17:19:00,АБС,false
APP-203018,CL-447527,Кредит наличными,Отделение,Центральный,500000,2025-04-11 19:28:00,CRM,false
APP-201972,CL-425454,Кредит наличными,Мобильное приложение,Сибирский,5000000,2025-04-04 08:10:00,АБС,false
APP-200152,CL-410691,Кредит наличными,Мобильное приложение,Центральный,300000,2025-07-19 16:44:00,CRM,false
APP-201479,CL-454353,Кредит наличными,Отделение,Сибирский,150000,2025-01-14 16:38:00,CRM,false
APP-203131,CL-427986,Кредитная карта,Корпоративный менеджер,Приволжский,300000,2025-05-09 14:38:00,АБС,false
APP-201713,CL-453334,Автокредит,Мобильное приложение,Приволжский,2500000,2025-06-05 16:00:00,CRM,false
APP-202483,CL-404601,Кредит наличными,Отделение,Приволжский,5000000,2025-04-24 15:26:00,АБС,false
APP-202660,CL-408212,Кредит для бизнеса,Мобильное приложение,Приволжский,500000,2025-04-19 18:28:00,АБС,false
APP-200232,CL-452139,Кредит для бизнеса,Мобильное приложение,Центральный,800000,2025-03-13 13:06:00,АБС,false
APP-201115,CL-428925,Кредит наличными,Партнёрская сеть,Центральный,800000,2025-04-02 19:26:00,АБС,false
APP-200523,CL-447473,Кредитная карта,Мобильное приложение,Северо-Западный,5000000,2025-04-14 13:45:00,АБС,false
APP-203526,CL-417928,Кредит для бизнеса,Мобильное приложение,Центральный,1200000,2025-01-13 08:05:00,АБС,false
APP-201314,CL-415046,Кредитная карта,Мобильное приложение,Сибирский,1200000,2025-02-23 13:08:00,АБС,false
APP-201130,CL-402364,Кредитная карта,Мобильное приложение,Приволжский,800000,2025-05-09 08:50:00,CRM,false
APP-202753,CL-457574,Кредит наличными,Партнёрская сеть,Центральный,1200000,2025-05-09 09:39:00,АБС,false
APP-200660,CL-453503,Кредит наличными,Отделение,Северо-Западный,300000,2025-05-01 12:26:00,АБС,false
APP-203012,CL-450491,Кредитная карта,Партнёрская сеть,Северо-Западный,300000,2025-05-03 13:21:00,CRM,false
APP-200745,CL-412395,Кредит наличными,Мобильное приложение,Приволжский,150000,2025-01-09 18:56:00,АБС,false
APP-200080,CL-445642,Кредитная карта,Отделение,Центральный,500000,2025-02-06 08:11:00,АБС,false
APP-200164,CL-458839,Кредит для бизнеса,Отделение,Центральный,5000000,2025-02-09 11:21:00,CRM,false
APP-201769,CL-415064,Кредит наличными,Партнёрская сеть,Сибирский,500000,2025-05-18 11:35:00,CRM,false
APP-202701,CL-403136,Кредит наличными,Партнёрская сеть,Северо-Западный,800000,2025-08-03 18:35:00,CRM,false
APP-200723,CL-433180,Кредит для бизнеса,Мобильное приложение,Приволжский,5000000,2025-06-30 08:15:00,CRM,false
APP-202495,CL-406884,Кредит наличными,Отделение,Центральный,2500000,2025-06-24 10:15:00,АБС,false
APP-201574,CL-447338,Кредитная карта,Отделение,Северо-Западный,1200000,2025-07-11 13:27:00,АБС,false
APP-200667,CL-430695,Кредит наличными,Отделение,Приволжский,500000,2025-06-20 15:45:00,АБС,false
APP-201751,CL-417881,Кредит для бизнеса,Мобильное приложение,Центральный,300000,2025-02-19 18:01:00,АБС,false
APP-200559,CL-458016,Кредит для бизнеса,Корпоративный менеджер,Центральный,800000,2025-02-27 19:28:00,АБС,false
APP-202149,CL-458533,Кредит наличными,Мобильное приложение,Сибирский,300000,2025-06-16 18:09:00,АБС,false
APP-201128,CL-439533,Кредит для бизнеса,Мобильное приложение,Сибирский,150000,2025-04-25 10:57:00,АБС,false
APP-200819,CL-420773,Кредит наличными,Мобильное приложение,Южный,150000,2025-03-07 17:37:00,АБС,false
APP-200009,CL-409621,Кредит наличными,Партнёрская сеть,Северо-Западный,1200000,2025-05-26 09:45:00,АБС,false
APP-201129,CL-403971,Кредит для бизнеса,Мобильное приложение,Северо-Западный,500000,2025-04-04 13:02:00,CRM,false
APP-200324,CL-446660,Кредитная карта,Мобильное приложение,Центральный,5000000,2025-01-09 12:22:00,АБС,false
APP-201653,CL-441740,Кредит для бизнеса,Мобильное приложение,Сибирский,300000,2025-06-01 12:45:00,CRM,false
APP-202255,CL-439347,Кредит для бизнеса,Мобильное приложение,Центральный,1200000,2025-05-09 12:48:00,АБС,false
APP-200678,CL-432106,Кредит наличными,Отделение,Центральный,800000,2025-01-19 14:58:00,CRM,false
APP-201152,CL-450594,Кредитная карта,Корпоративный менеджер,Приволжский,5000000,2025-05-06 16:33:00,АБС,false
APP-201211,CL-415246,Кредит наличными,Партнёрская сеть,Северо-Западный,2500000,2025-04-02 18:03:00,АБС,false
APP-201275,CL-424296,Кредит для бизнеса,Партнёрская сеть,Центральный,300000,2025-06-13 14:43:00,CRM,false
APP-201069,CL-451475,Кредит для бизнеса,Отделение,Приволжский,500000,2025-04-05 10:39:00,CRM,false
APP-200921,CL-429217,Кредит для бизнеса,Отделение,Центральный,500000,2025-06-06 19:51:00,АБС,false
APP-200973,CL-447682,Кредитная карта,Партнёрская сеть,Центральный,800000,2025-01-12 13:42:00,CRM,false
APP-201691,CL-434532,Автокредит,Партнёрская сеть,Центральный,2500000,2025-02-02 18:59:00,АБС,false
APP-200766,CL-400428,Кредит наличными,Партнёрская сеть,Центральный,1200000,2025-06-10 08:46:00,АБС,false
APP-201219,CL-422879,Автокредит,Отделение,Сибирский,5000000,2025-03-30 12:14:00,АБС,false
APP-203559,CL-427250,Кредитная карта,Корпоративный менеджер,Сибирский,150000,2025-07-30 19:19:00,АБС,false
APP-201405,CL-438119,Кредит наличными,Корпоративный менеджер,Центральный,2500000,2025-03-05 13:29:00,CRM,false
APP-202194,CL-404814,Кредит для бизнеса,Мобильное приложение,Южный,500000,2025-02-08 18:51:00,АБС,false
APP-202871,CL-418001,Автокредит,Отделение,Северо-Западный,500000,2025-06-27 16:22:00,CRM,false
APP-203044,CL-403626,Автокредит,Партнёрская сеть,Сибирский,2500000,2025-03-26 18:48:00,АБС,false
APP-203447,CL-455769,Кредитная карта,Партнёрская сеть,Южный,150000,2025-07-27 09:15:00,CRM,false
APP-203488,CL-440665,Кредит наличными,Мобильное приложение,Приволжский,500000,2025-05-23 11:08:00,АБС,false
APP-200457,CL-408696,Кредит наличными,Корпоративный менеджер,Центральный,150000,2025-01-17 10:44:00,АБС,false
APP-202834,CL-438219,Автокредит,Мобильное приложение,Приволжский,1200000,2025-07-23 17:28:00,CRM,false
APP-202971,CL-409112,Кредитная карта,Отделение,Приволжский,2500000,2025-06-09 08:17:00,АБС,false
APP-202223,CL-455626,Кредитная карта,Отделение,Центральный,150000,2025-01-06 08:45:00,АБС,false
APP-201770,CL-431987,Кредит наличными,Отделение,Центральный,5000000,2025-04-08 15:34:00,АБС,false
APP-201526,CL-425688,Автокредит,Корпоративный менеджер,Центральный,800000,2025-06-24 16:14:00,АБС,false
APP-202653,CL-441892,Кредит наличными,Отделение,Центральный,5000000,2025-04-12 13:14:00,CRM,false
APP-201658,CL-428035,Кредит для бизнеса,Партнёрская сеть,Приволжский,5000000,2025-01-22 12:47:00,CRM,false
APP-200617,CL-TEST,Кредит наличными,Мобильное приложение,Северо-Западный,5000000,2025-07-22 12:08:00,CRM,true
APP-200305,CL-453805,Кредит наличными,Отделение,Приволжский,800000,2025-05-08 11:05:00,CRM,false
APP-203087,CL-447670,Автокредит,Партнёрская сеть,Северо-Западный,300000,2025-06-24 10:49:00,АБС,false
APP-202427,CL-422861,Кредит для бизнеса,Партнёрская сеть,Центральный,1200000,2025-07-22 12:23:00,CRM,false
APP-202160,CL-428296,Кредит для бизнеса,Отделение,Приволжский,2500000,2025-01-07 18:47:00,CRM,false
APP-201373,CL-439299,Кредит для бизнеса,Мобильное приложение,Северо-Западный,2500000,2025-07-25 17:00:00,CRM,false
APP-201896,CL-429331,Кредитная карта,Партнёрская сеть,Центральный,300000,2025-06-13 17:20:00,АБС,false
APP-201798,CL-454446,Кредит для бизнеса,Партнёрская сеть,Приволжский,5000000,2025-03-14 14:34:00,АБС,false
APP-203219,CL-412910,Кредит наличными,Мобильное приложение,Приволжский,1200000,2025-01-26 16:07:00,АБС,false
APP-202809,CL-455496,Кредитная карта,Мобильное приложение,Северо-Западный,2500000,2025-05-27 08:40:00,АБС,false
APP-203289,CL-435584,Кредит наличными,Мобильное приложение,Северо-Западный,150000,2025-05-28 10:38:00,АБС,false
APP-203275,CL-406146,Кредит для бизнеса,Отделение,Приволжский,2500000,2025-07-03 16:57:00,АБС,false
APP-201403,CL-443790,Кредит для бизнеса,Партнёрская сеть,Приволжский,2500000,2025-03-09 13:32:00,АБС,false
APP-202977,CL-453712,Кредит наличными,Отделение,Южный,150000,2025-01-25 10:51:00,CRM,false
APP-200825,CL-436832,Автокредит,Корпоративный менеджер,Центральный,1200000,2025-02-15 11:05:00,CRM,false
APP-200946,CL-450655,Кредит наличными,Корпоративный менеджер,Центральный,5000000,2025-07-25 13:24:00,CRM,false
APP-202865,CL-401723,Кредит наличными,Мобильное приложение,Центральный,5000000,2025-04-24 10:20:00,АБС,false
APP-200145,CL-458766,Кредит для бизнеса,Мобильное приложение,Южный,5000000,2025-05-29 19:06:00,АБС,false
APP-201004,CL-431824,Кредитная карта,Мобильное приложение,Северо-Западный,500000,2025-06-14 10:06:00,АБС,false
APP-202452,CL-410559,Кредит для бизнеса,Мобильное приложение,Сибирский,150000,2025-01-08 16:44:00,АБС,false
APP-202925,CL-424045,Автокредит,Партнёрская сеть,Северо-Западный,2500000,2025-04-19 13:45:00,CRM,false
APP-201296,CL-409600,Автокредит,Отделение,Южный,2500000,2025-05-16 18:15:00,АБС,false
APP-202853,CL-436091,Кредит наличными,Отделение,Приволжский,2500000,2025-06-26 19:22:00,АБС,false
APP-201407,CL-457696,Кредит для бизнеса,Отделение,Сибирский,150000,2025-02-01 19:05:00,CRM,false
APP-201828,CL-454645,Кредит наличными,Партнёрская сеть,Сибирский,1200000,2025-05-29 15:00:00,АБС,false
APP-200813,CL-439894,Кредитная карта,Корпоративный менеджер,Приволжский,5000000,2025-03-26 18:39:00,АБС,false
APP-202917,CL-443962,Кредит наличными,Отделение,Сибирский,300000,2025-03-31 13:41:00,АБС,false
APP-203126,CL-446552,Кредитная карта,Мобильное приложение,Сибирский,300000,2025-04-11 11:42:00,CRM,false
APP-200059,CL-439794,Кредитная карта,Отделение,Северо-Западный,500000,2025-03-22 12:04:00,CRM,false
APP-200526,CL-413519,Кредит наличными,Мобильное приложение,Южный,800000,2025-05-20 13:35:00,АБС,false
APP-203284,CL-439966,Кредитная карта,Корпоративный менеджер,Центральный,500000,2025-01-31 15:20:00,CRM,false
APP-200161,CL-427529,Кредит для бизнеса,Мобильное приложение,Северо-Западный,2500000,2025-03-11 19:28:00,АБС,false
APP-201410,CL-430565,Автокредит,Отделение,Сибирский,5000000,2025-04-30 08:14:00,АБС,false
APP-200001,CL-428824,Кредит наличными,Мобильное приложение,Центральный,800000,2025-07-25 14:41:00,CRM,false
APP-200346,CL-444975,Кредитная карта,Мобильное приложение,Центральный,500000,2025-03-08 14:53:00,АБС,false
APP-202724,CL-TEST,Кредит для бизнеса,Отделение,Приволжский,1200000,2025-02-20 10:56:00,АБС,true
APP-202552,CL-455016,Кредит наличными,Корпоративный менеджер,Сибирский,800000,2025-04-02 13:04:00,АБС,false
APP-201132,CL-409124,Кредит для бизнеса,Отделение,Центральный,800000,2025-04-21 09:28:00,CRM,false
