application_id,disbursed_at,amount_disbursed
APP-200312,2025-03-12 22:21:53,1200000
APP-200313,2025-07-02 11:20:01,5000000
APP-200314,2025-06-23 07:26:24,120000
APP-200315,2025-07-28 21:13:56,5000000
APP-200316,2025-02-27 00:04:06,5000000
APP-200320,2025-05-24 20:19:55,1200000
APP-200321,2025-05-22 04:43:57,1500000
APP-200323,2025-06-17 18:06:10,800000
APP-200325,2025-06-20 08:03:42,640000
APP-200331,2025-01-30 07:55:24,150000
APP-200332,2025-03-11 00:54:43,500000
APP-200336,2025-02-18 06:11:13,5000000
APP-200340,2025-07-25 17:44:21,720000
APP-200341,2025-06-08 10:46:55,1200000
APP-200342,2025-07-31 23:13:30,300000
APP-200344,2025-03-04 04:42:36,2500000
APP-200345,2025-07-12 02:29:01,500000
APP-200346,2025-03-12 03:51:42,300000
APP-200350,2025-01-23 20:09:16,5000000
APP-200351,2025-07-29 04:08:17,120000
APP-200352,2025-05-06 01:18:46,500000
APP-200353,2025-04-09 04:25:08,800000
APP-200354,2025-04-05 02:01:04,500000
APP-200356,2025-04-12 21:34:07,180000
APP-200357,2025-05-31 22:25:15,2500000
APP-200359,2025-07-18 17:27:34,5000000
APP-200360,2025-04-28 08:04:53,5000000
APP-200364,2025-05-07 00:12:19,4000000
APP-200368,2025-03-26 06:38:11,500000
APP-200371,2025-06-10 02:24:26,5000000
APP-200375,2025-03-11 00:22:35,300000
APP-200378,2025-03-10 22:31:02,240000
APP-200379,2025-04-19 03:33:02,500000
APP-200382,2025-03-26 09:47:50,5000000
APP-200383,2025-04-30 14:14:30,2000000
APP-200385,2025-02-19 09:56:33,500000
APP-200386,2025-03-13 01:58:56,500000
APP-200387,2025-04-30 13:58:02,5000000
APP-200388,2025-04-09 02:44:49,720000
APP-200394,2025-08-01 00:54:00,1200000
APP-200397,2025-03-15 14:15:03,720000
APP-200398,2025-02-04 07:13:09,150000
APP-200399,2025-02-13 23:50:30,1200000
APP-200400,2025-02-02 21:20:07,90000
APP-200401,2025-02-05 03:59:24,800000
APP-200402,2025-04-23 10:28:10,300000
APP-200403,2025-04-12 22:52:00,90000
APP-200404,2025-06-20 21:03:13,500000
APP-200405,2025-05-02 15:14:22,300000
APP-200408,2025-06-28 09:33:02,180000
APP-200409,2025-04-08 14:53:49,240000
APP-200416,2025-05-08 23:41:49,120000
APP-200417,2025-06-25 03:13:43,300000
APP-200418,2025-02-28 13:56:01,300000
APP-200419,2025-07-21 18:41:33,640000
APP-200422,2025-01-28 14:19:43,800000
APP-200423,2025-07-24 09:12:30,300000
APP-200425,2025-07-08 11:19:27,800000
APP-200428,2025-07-18 08:24:53,1500000
APP-200432,2025-04-30 20:34:42,2500000
APP-200433,2025-06-05 13:46:55,480000
APP-200439,2025-07-09 01:33:03,500000
APP-200444,2025-02-13 16:05:42,300000
APP-200450,2025-02-22 01:40:25,800000
APP-200451,2025-07-06 04:03:08,2000000
APP-200452,2025-03-29 15:22:42,720000
APP-200458,2025-06-09 12:47:17,500000
APP-200459,2025-02-27 05:18:15,1200000
APP-200460,2025-02-03 09:29:20,800000
APP-200461,2025-02-22 06:15:56,800000
APP-200462,2025-01-23 14:36:34,1200000
APP-200463,2025-04-19 18:08:08,800000
APP-200465,2025-05-30 03:00:50,800000
APP-200467,2025-02-17 14:52:42,120000
APP-200469,2025-05-08 06:12:29,5000000
APP-200473,2025-02-16 21:29:58,150000
APP-200478,2025-05-22 01:14:03,90000
APP-200482,2025-04-13 03:17:12,2500000
APP-200484,2025-07-06 07:32:15,300000
APP-200485,2025-02-27 02:46:09,1200000
APP-200486,2025-01-26 23:05:28,1200000
APP-200489,2025-03-06 21:56:07,800000
APP-200490,2025-07-27 07:22:52,150000
APP-200491,2025-07-24 08:55:12,90000
APP-200493,2025-04-12 16:22:49,180000
APP-200494,2025-01-11 08:33:05,150000
APP-200498,2025-07-13 12:17:36,1200000
APP-200499,2025-05-11 09:33:07,300000
APP-200500,2025-06-17 17:23:02,150000
APP-200504,2025-08-05 19:10:29,800000
APP-200505,2025-02-09 16:07:19,1200000
APP-200507,2025-06-28 12:12:46,180000
APP-200508,2025-07-20 03:19:34,180000
APP-200509,2025-06-06 04:53:35,3000000
APP-200513,2025-06-13 02:07:46,1200000
APP-200514,2025-04-14 18:34:19,800000
APP-200515,2025-01-13 00:39:12,2500000
APP-200516,2025-06-22 02:19:53,1500000
APP-200517,2025-01-26 22:43:26,2500000
APP-200521,2025-04-27 02:50:45,5000000
APP-200522,2025-01-29 04:17:23,1500000
APP-200525,2025-03-25 03:10:12,640000
APP-200526,2025-05-22 00:41:41,480000
APP-200527,2025-01-11 19:33:44,5000000
APP-200529,2025-07-31 17:15:18,300000
APP-200534,2025-01-19 20:14:19,480000
APP-200535,2025-06-03 04:20:10,2500000
APP-200536,2025-06-23 22:35:42,300000
APP-200540,2025-06-03 20:53:38,2500000
APP-200544,2025-01-29 07:23:40,2500000
APP-200547,2025-03-20 04:21:09,2500000
APP-200551,2025-07-08 16:22:56,90000
APP-200554,2025-01-22 05:51:05,3000000
APP-200555,2025-07-02 22:43:22,3000000
APP-200556,2025-06-03 00:54:23,500000
APP-200557,2025-04-07 19:46:46,5000000
APP-200558,2025-04-30 05:47:06,500000
APP-200559,2025-03-04 23:05:25,800000
APP-200561,2025-07-22 23:15:35,300000
APP-200563,2025-07-02 16:52:18,5000000
APP-200564,2025-01-12 09:04:02,300000
APP-200572,2025-05-29 20:06:44,5000000
APP-200574,2025-03-26 17:00:53,1500000
APP-200575,2025-02-21 22:05:54,240000
APP-200577,2025-06-07 07:39:30,120000
APP-200578,2025-03-21 18:47:45,1500000
APP-200581,2025-04-04 15:56:20,2500000
APP-200582,2025-05-29 07:13:16,180000
APP-200585,2025-02-24 17:29:58,800000
APP-200586,2025-04-15 19:45:38,960000
APP-200587,2025-03-31 06:09:38,150000
APP-200589,2025-02-09 16:24:42,2500000
APP-200591,2025-04-19 18:10:05,1200000
APP-200592,2025-06-12 01:36:52,800000
APP-200595,2025-01-28 20:06:58,5000000
APP-200597,2025-05-28 13:49:27,300000
APP-200600,2025-04-02 21:04:45,300000
APP-200602,2025-06-16 15:28:37,2000000
APP-200605,2025-05-22 08:13:21,800000
APP-200606,2025-05-08 22:27:37,5000000
APP-200608,2025-05-09 12:10:48,2500000
APP-200610,2025-02-03 11:58:21,800000
APP-200611,2025-07-17 00:31:42,5000000
APP-200614,2025-04-02 04:06:42,2500000
APP-200615,2025-03-30 12:52:04,300000
APP-200616,2025-05-08 07:43:03,120000
APP-200619,2025-05-08 10:32:07,1200000
APP-200620,2025-06-21 03:06:44,90000
APP-200622,2025-04-08 02:17:52,300000
APP-200624,2025-06-15 09:58:25,3000000
APP-200625,2025-04-14 00:24:00,400000
APP-200626,2025-08-04 14:12:26,300000
APP-200627,2025-05-15 14:11:12,480000
APP-200628,2025-06-03 04:58:21,150000
APP-200629,2025-05-03 05:00:22,960000
APP-200630,2025-07-06 03:41:28,5000000
APP-200631,2025-06-04 15:13:02,1200000
APP-200632,2025-01-29 16:22:13,4000000
APP-200633,2025-04-03 06:14:35,4000000
APP-200634,2025-07-18 08:40:36,90000
APP-200635,2025-04-19 13:05:23,120000
APP-200636,2025-04-23 08:47:58,5000000
APP-200637,2025-02-28 12:11:03,240000
APP-200639,2025-07-02 07:59:29,5000000
APP-200642,2025-05-02 23:09:08,3000000
APP-200643,2025-05-13 08:55:49,3000000
APP-200644,2025-03-11 02:43:24,300000
APP-200650,2025-03-10 00:06:35,5000000
APP-200651,2025-07-07 16:31:17,150000
APP-200655,2025-05-24 09:07:15,2500000
APP-200656,2025-03-31 21:02:43,400000
APP-200658,2025-05-05 02:54:09,2500000
APP-200659,2025-03-26 01:06:59,180000
APP-200661,2025-07-17 08:29:22,720000
APP-200662,2025-06-02 16:34:05,150000
APP-200666,2025-04-06 06:42:35,3000000
APP-200667,2025-06-23 03:38:06,500000
APP-200669,2025-02-02 06:25:47,5000000
APP-200671,2025-06-22 19:46:26,1500000
APP-200673,2025-03-15 12:40:18,1500000
APP-200675,2025-08-02 19:21:39,5000000
APP-200677,2025-04-15 02:27:17,640000
APP-200679,2025-03-02 15:59:11,300000
APP-200682,2025-05-12 22:13:18,800000
APP-200684,2025-07-07 01:57:15,4000000
APP-200685,2025-02-11 02:28:39,120000
APP-200686,2025-04-11 12:54:03,4000000
APP-200696,2025-03-26 02:02:27,800000
APP-200704,2025-03-01 03:27:32,240000
APP-200707,2025-04-07 01:34:10,5000000
APP-200709,2025-06-01 16:01:07,300000
APP-200710,2025-04-12 23:43:56,800000
APP-200713,2025-04-01 15:25:02,240000
APP-200714,2025-07-16 13:55:54,400000
APP-200715,2025-04-29 19:41:53,300000
APP-200716,2025-05-25 01:00:43,800000
APP-200717,2025-01-30 13:57:23,720000
APP-200718,2025-01-22 17:09:27,5000000
APP-200719,2025-06-16 01:41:30,2500000
APP-200720,2025-03-01 23:34:10,500000
APP-200723,2025-07-02 19:12:15,5000000
APP-200724,2025-02-07 11:39:58,4000000
APP-200726,2025-07-27 10:03:18,1200000
APP-200729,2025-07-25 09:16:52,300000
APP-200734,2025-04-16 23:46:14,3000000
APP-200735,2025-06-05 09:17:00,500000
APP-200737,2025-07-18 14:04:52,2500000
APP-200738,2025-06-02 01:03:40,150000
APP-200741,2025-06-13 03:45:34,300000
APP-200743,2025-03-15 21:39:53,3000000
APP-200746,2025-03-06 02:05:35,2500000
APP-200747,2025-07-03 08:50:05,1200000
APP-200749,2025-07-03 11:25:58,400000
APP-200751,2025-03-28 04:50:27,720000
APP-200752,2025-06-11 20:19:48,90000
APP-200754,2025-02-09 11:22:33,500000
APP-200755,2025-03-10 18:07:57,1500000
APP-200756,2025-07-26 07:28:13,1200000
APP-200757,2025-02-18 09:39:48,300000
APP-200761,2025-04-19 12:24:10,5000000
APP-200764,2025-04-09 19:17:29,1200000
APP-200768,2025-04-12 06:47:09,500000
APP-200769,2025-04-23 10:30:10,960000
APP-200771,2025-04-21 22:14:39,2500000
APP-200772,2025-05-19 01:37:16,2500000
APP-200776,2025-03-31 18:54:14,1500000
APP-200779,2025-02-05 19:03:01,640000
APP-200780,2025-02-17 16:56:00,180000
APP-200782,2025-07-18 00:57:48,150000
APP-200784,2025-06-03 07:57:22,1500000
APP-200785,2025-05-27 18:46:06,120000
APP-200790,2025-04-26 22:18:18,480000
APP-200792,2025-04-02 20:06:17,500000
APP-200793,2025-01-20 07:19:15,4000000
APP-200798,2025-05-23 02:35:54,5000000
APP-200801,2025-06-12 15:34:18,720000
APP-200802,2025-04-13 09:33:28,300000
APP-200803,2025-06-20 05:37:02,2500000
APP-200804,2025-03-17 04:59:02,1200000
APP-200808,2025-06-24 23:53:37,800000
APP-200810,2025-07-02 18:48:35,150000
APP-200813,2025-04-01 15:00:20,4000000
APP-200817,2025-03-02 11:51:11,1500000
APP-200820,2025-02-08 03:32:26,800000
APP-200824,2025-01-14 09:12:13,480000
APP-200827,2025-05-05 11:28:02,800000
APP-200831,2025-04-13 18:11:09,960000
APP-200832,2025-01-11 06:11:51,400000
APP-200833,2025-04-04 17:14:23,300000
APP-200836,2025-07-18 06:30:30,640000
APP-200837,2025-03-15 14:12:30,800000
APP-200839,2025-04-29 01:17:48,150000
APP-200840,2025-07-16 17:25:53,5000000
APP-200841,2025-02-12 16:22:19,2000000
APP-200842,2025-06-18 01:01:32,1200000
APP-200843,2025-04-30 04:10:44,1500000
APP-200844,2025-01-12 14:50:04,5000000
APP-200845,2025-07-24 05:57:28,300000
APP-200846,2025-07-10 02:48:27,300000
APP-200848,2025-05-05 19:05:47,300000
APP-200850,2025-07-17 14:28:13,150000
APP-200852,2025-01-19 02:12:09,400000
APP-200855,2025-03-03 19:59:42,400000
APP-200863,2025-07-16 00:41:45,960000
APP-200865,2025-02-19 17:44:44,300000
APP-200866,2025-02-24 12:35:13,5000000
APP-200870,2025-05-02 00:02:23,800000
APP-200871,2025-02-02 21:48:10,3000000
APP-200872,2025-07-16 12:49:08,1200000
APP-200874,2025-01-12 03:09:48,500000
APP-200876,2025-08-06 03:44:41,300000
APP-200877,2025-05-19 09:09:38,150000
APP-200878,2025-05-09 14:44:24,3000000
APP-200880,2025-01-24 01:25:54,800000
APP-200883,2025-04-22 08:21:46,2500000
APP-200887,2025-02-19 06:14:36,640000
APP-200888,2025-01-11 00:03:42,1500000
APP-200891,2025-05-10 00:13:23,640000
APP-200893,2025-03-11 16:22:46,300000
APP-200896,2025-02-13 12:47:55,800000
APP-200897,2025-06-18 00:48:38,300000
APP-200898,2025-06-15 22:52:46,2000000
APP-200900,2025-03-04 05:36:36,120000
APP-200901,2025-05-11 00:22:41,720000
APP-200903,2025-03-20 19:31:49,480000
APP-200904,2025-06-03 09:44:39,2000000
APP-200906,2025-07-01 00:44:06,800000
APP-200912,2025-04-28 14:05:49,1500000
APP-200914,2025-05-14 02:34:22,480000
APP-200915,2025-06-25 09:02:11,1200000
APP-200916,2025-03-16 10:49:03,150000
APP-200917,2025-05-07 14:52:35,5000000
APP-200918,2025-05-04 00:18:36,5000000
APP-200921,2025-06-10 16:20:20,300000
APP-200927,2025-02-17 20:41:45,120000
APP-200928,2025-04-10 13:27:18,300000
APP-200930,2025-06-24 16:33:20,800000
APP-200932,2025-05-05 03:39:13,800000
APP-200933,2025-04-29 23:36:27,400000
APP-200935,2025-05-15 20:21:47,2500000
APP-200936,2025-06-11 23:02:25,150000
APP-200937,2025-03-22 05:16:42,1200000
APP-200938,2025-06-17 00:49:18,1200000
APP-200939,2025-02-13 14:09:41,5000000
APP-200943,2025-04-27 03:47:36,2500000
APP-200944,2025-05-07 01:52:37,500000
APP-200945,2025-05-08 11:13:45,180000
APP-200946,2025-07-28 03:24:16,3000000
APP-200947,2025-07-29 02:55:43,300000
APP-200948,2025-06-09 23:14:53,2500000
APP-200950,2025-03-25 08:36:54,300000
APP-200951,2025-07-18 16:07:32,800000
APP-200952,2025-04-18 11:34:14,300000
APP-200961,2025-06-29 14:59:02,2000000
APP-200962,2025-04-17 13:45:58,500000
APP-200964,2025-04-15 14:42:45,800000
APP-200965,2025-08-11 09:24:32,1200000
APP-200968,2025-04-23 08:53:58,2500000
APP-200969,2025-08-04 18:16:26,2500000
APP-200972,2025-01-29 02:12:44,2000000
APP-200973,2025-01-17 11:05:07,480000
APP-200975,2025-05-22 04:27:11,800000
APP-200976,2025-01-10 06:21:15,1200000
APP-200978,2025-03-24 06:54:29,500000
APP-200979,2025-06-11 13:37:19,5000000
APP-200981,2025-02-21 20:25:42,640000
APP-200985,2025-06-18 18:20:36,2000000
APP-200987,2025-06-08 17:30:03,500000
APP-200995,2025-01-25 07:12:56,720000
APP-200996,2025-01-22 18:23:16,5000000
APP-200998,2025-05-01 16:45:58,640000
APP-200999,2025-08-04 14:02:53,5000000
APP-201001,2025-04-30 00:33:26,240000
APP-201002,2025-03-07 15:37:24,720000
APP-201005,2025-02-17 18:18:49,2000000
APP-201007,2025-03-17 16:27:48,500000
APP-201008,2025-05-20 08:33:25,300000
APP-201009,2025-06-27 00:00:50,500000
APP-201014,2025-01-11 08:53:03,300000
APP-201018,2025-05-23 14:52:01,500000
APP-201019,2025-04-11 21:07:22,300000
APP-201022,2025-05-15 01:30:44,300000
APP-201024,2025-07-02 00:14:42,960000
APP-201026,2025-02-27 12:37:31,960000
APP-201027,2025-03-23 10:11:30,300000
APP-201031,2025-02-17 17:23:36,300000
APP-201033,2025-02-21 06:57:09,300000
APP-201034,2025-07-29 09:56:35,800000
APP-201035,2025-05-12 10:10:46,1200000
APP-201036,2025-03-17 14:07:17,300000
APP-201039,2025-06-15 07:37:32,800000
APP-201040,2025-02-24 00:22:55,400000
APP-201042,2025-04-20 11:31:09,150000
APP-201043,2025-02-03 17:21:18,3000000
APP-201044,2025-06-16 19:19:38,800000
APP-201048,2025-06-14 08:40:12,480000
APP-201060,2025-06-12 01:00:26,300000
APP-201061,2025-01-19 22:35:11,640000
APP-201063,2025-01-31 06:53:10,1200000
APP-201064,2025-02-09 20:04:31,300000
APP-201066,2025-01-14 00:36:01,90000
APP-201067,2025-05-09 20:52:37,400000
APP-201069,2025-04-08 20:04:28,400000
APP-201071,2025-06-13 13:19:16,1500000
APP-201072,2025-01-22 18:16:02,800000
APP-201074,2025-06-19 20:43:16,5000000
APP-201077,2025-04-13 11:16:24,800000
APP-201079,2025-04-03 09:08:50,2500000
APP-201081,2025-02-04 15:49:45,2000000
APP-201082,2025-01-20 19:44:54,150000
APP-201083,2025-06-11 14:00:32,150000
APP-201084,2025-08-05 17:54:03,90000
APP-201085,2025-02-18 21:05:58,1200000
APP-201088,2025-08-04 23:47:29,800000
APP-201090,2025-06-02 15:00:32,90000
APP-201091,2025-05-16 21:18:16,120000
APP-201095,2025-04-27 01:28:00,5000000
APP-201096,2025-03-01 08:19:13,90000
APP-201097,2025-02-25 05:59:10,2000000
APP-201098,2025-02-02 01:09:45,240000
APP-201099,2025-06-22 19:22:56,150000
APP-201100,2025-04-05 01:54:00,1500000
APP-201102,2025-02-12 14:38:36,800000
APP-201104,2025-05-14 17:27:44,300000
APP-201105,2025-04-17 23:18:55,480000
APP-201108,2025-01-21 00:11:14,5000000
APP-201109,2025-04-17 05:11:21,300000
APP-201110,2025-04-02 07:40:04,500000
APP-201113,2025-02-08 15:11:09,500000
APP-201114,2025-03-25 07:08:39,1200000
APP-201117,2025-04-13 01:51:12,240000
APP-201121,2025-06-12 07:11:25,3000000
APP-201123,2025-03-26 03:47:00,1500000
APP-201126,2025-03-08 22:16:22,300000
APP-201128,2025-04-29 05:54:48,90000
APP-201131,2025-08-05 05:45:14,800000
APP-201132,2025-04-25 19:45:53,640000
APP-201133,2025-01-19 16:57:42,500000
APP-201134,2025-05-24 13:28:20,5000000
APP-201135,2025-03-20 01:58:39,300000
APP-201137,2025-02-27 07:37:30,2000000
APP-201141,2025-03-12 08:06:33,2000000
APP-201142,2025-03-19 17:59:01,150000
APP-201143,2025-06-25 08:29:42,150000
APP-201145,2025-01-12 12:08:34,3000000
APP-201150,2025-07-15 02:05:46,400000
APP-201151,2025-05-01 17:42:28,2000000
APP-201153,2025-04-30 13:07:15,150000
APP-201156,2025-02-17 06:42:50,5000000
APP-201157,2025-08-01 09:15:42,800000
APP-201158,2025-03-31 07:59:38,150000
APP-201162,2025-03-30 12:24:49,960000
APP-201164,2025-03-05 00:23:14,400000
APP-201167,2025-06-09 09:21:55,480000
APP-201169,2025-01-18 21:50:17,800000
APP-201170,2025-04-28 11:12:00,500000
APP-201171,2025-05-24 05:30:59,2500000
APP-201172,2025-02-16 21:51:30,960000
APP-201173,2025-04-05 08:57:54,720000
APP-201174,2025-07-05 05:57:38,300000
APP-201175,2025-02-19 12:12:04,1200000
APP-201178,2025-04-12 05:20:07,5000000
APP-201181,2025-01-12 13:08:24,300000
APP-201189,2025-03-26 13:07:36,300000
APP-201190,2025-04-06 11:13:37,150000
APP-201191,2025-06-18 21:56:31,400000
APP-201194,2025-03-01 20:11:36,480000
APP-201195,2025-06-22 00:20:50,1200000
APP-201196,2025-03-11 23:57:54,300000
APP-201197,2025-07-05 03:18:07,3000000
APP-201199,2025-01-24 22:44:22,800000
APP-201200,2025-03-31 22:52:49,300000
APP-201201,2025-01-13 10:27:07,2500000
APP-201203,2025-05-29 04:06:49,180000
APP-201204,2025-02-10 17:54:44,1200000
APP-201205,2025-07-07 04:47:55,960000
APP-201206,2025-05-12 10:49:29,300000
APP-201207,2025-06-02 05:14:53,5000000
APP-201208,2025-04-29 19:02:55,1200000
APP-201210,2025-04-23 19:38:49,4000000
APP-201211,2025-04-05 12:14:29,1500000
APP-201213,2025-02-24 00:10:55,2500000
APP-201219,2025-04-02 03:46:16,5000000
APP-201221,2025-03-22 06:00:19,300000
APP-201223,2025-01-19 11:10:50,5000000
APP-201228,2025-07-06 10:31:19,800000
APP-201229,2025-05-11 00:35:57,3000000
APP-201231,2025-03-22 10:08:56,1200000
APP-201232,2025-01-27 22:47:39,500000
APP-201233,2025-01-12 06:36:27,1200000
APP-201235,2025-07-18 20:05:00,400000
APP-201236,2025-04-03 18:44:20,150000
APP-201243,2025-02-04 14:07:30,960000
APP-201244,2025-06-10 05:52:55,90000
APP-201245,2025-02-15 16:03:47,800000
APP-201246,2025-07-28 05:39:23,3000000
APP-201247,2025-07-22 13:31:05,180000
APP-201248,2025-04-29 18:28:58,5000000
APP-201253,2025-04-21 10:32:52,120000
APP-201258,2025-04-03 03:26:53,300000
APP-201259,2025-04-13 04:18:06,1200000
APP-201263,2025-06-21 16:43:55,5000000
APP-201264,2025-04-11 10:58:31,300000
APP-201265,2025-06-19 02:08:35,4000000
APP-201269,2025-02-04 09:37:10,400000
APP-201270,2025-03-05 12:26:33,300000
APP-201273,2025-07-28 16:33:03,90000
APP-201275,2025-06-17 16:34:05,300000
APP-201276,2025-03-18 15:45:17,300000
APP-201277,2025-05-30 09:06:50,150000
APP-201278,2025-05-28 23:02:56,1200000
APP-201279,2025-02-27 20:17:02,4000000
