application_id,decision,decided_at,reason
APP-200067,Отказ,2025-06-30 19:32:05,Высокая долговая нагрузка
APP-200068,Одобрено,2025-02-13 10:20:44,Одобрено
APP-200069,Одобрено,2025-03-02 09:40:26,Одобрено
APP-200070,Отказ,2025-05-07 21:26:59,Высокая долговая нагрузка
APP-200071,Одобрено,2025-03-18 12:46:46,Одобрено
APP-200072,Одобрено,2025-04-08 17:15:33,Одобрено
APP-200073,Одобрено,2025-05-01 04:35:56,Одобрено
APP-200074,Отказ,2025-02-26 01:35:48,Клиент отозвал заявку
APP-200075,Одобрено,2025-03-12 22:31:19,Одобрено
APP-200076,Одобрено,2025-05-15 09:43:33,Одобрено
APP-200077,Одобрено,2025-03-24 16:26:39,Одобрено
APP-200078,Отказ,2025-03-06 23:00:59,Скоринговый балл ниже порога
APP-200079,Отказ,2025-04-05 03:42:32,Высокая долговая нагрузка
APP-200080,Одобрено,2025-02-08 02:28:26,Одобрено
APP-200081,Одобрено,2025-02-25 18:56:25,TEST
APP-200082,Одобрено,2025-05-31 02:16:31,Одобрено
APP-200083,Одобрено,2025-03-16 04:20:40,Одобрено
APP-200084,Отказ,2025-06-02 18:49:33,Клиент отозвал заявку
APP-200085,Отказ,2025-03-26 19:33:37,Клиент не явился за средствами
APP-200086,Отказ,2025-02-24 23:36:34,Высокая долговая нагрузка
APP-200087,Одобрено,2025-07-27 04:00:17,Одобрено
APP-200088,Одобрено,2025-07-02 22:53:35,Одобрено
APP-200089,Одобрено,2025-06-24 13:47:14,Одобрено
APP-200090,Одобрено,2025-06-03 10:14:00,Одобрено
APP-200091,Отказ,2025-02-14 18:54:51,Клиент не явился за средствами
APP-200092,Одобрено,2025-05-05 11:56:22,TEST
APP-200093,Одобрено,2025-05-22 15:12:06,Одобрено
APP-200094,Отказ,2025-06-24 10:06:14,Клиент не явился за средствами
APP-200095,Одобрено,2025-01-16 00:11:45,Одобрено
APP-200096,Одобрено,2025-05-02 16:02:21,Одобрено
APP-200097,Одобрено,2025-04-13 14:54:19,Одобрено
APP-200098,Одобрено,2025-01-11 21:47:26,Одобрено
APP-200099,Одобрено,2025-01-20 18:24:21,Одобрено
APP-200100,Одобрено,2025-05-07 07:32:26,Одобрено
APP-200101,Одобрено,2025-05-10 18:13:20,Одобрено
APP-200102,Отказ,2025-01-12 21:11:54,Высокая долговая нагрузка
APP-200103,Одобрено,2025-04-17 12:46:22,Одобрено
APP-200104,Одобрено,2025-05-03 21:58:12,Одобрено
APP-200105,Одобрено,2025-06-15 20:17:52,Одобрено
APP-200106,Одобрено,2025-04-05 15:17:10,Одобрено
APP-200107,Отказ,2025-03-10 14:53:10,Неполный пакет документов
APP-200108,Отказ,2025-03-27 20:52:39,Неполный пакет документов
APP-200109,Одобрено,2025-05-22 03:15:56,Одобрено
APP-200110,Отказ,2025-04-08 23:20:00,Клиент отозвал заявку
APP-200111,Отказ,2025-05-08 17:58:38,Высокая долговая нагрузка
APP-200112,Отказ,2025-01-26 16:58:46,Клиент не явился за средствами
APP-200113,Одобрено,2025-05-23 03:09:09,Одобрено
APP-200114,Отказ,2025-03-05 23:25:57,Клиент не явился за средствами
APP-200115,Одобрено,2025-06-20 09:31:38,Одобрено
APP-200116,Отказ,2025-05-30 02:06:44,Скоринговый балл ниже порога
APP-200117,Отказ,2025-06-28 13:50:37,Скоринговый балл ниже порога
APP-200118,Одобрено,2025-04-26 05:35:09,Одобрено
APP-200119,Отказ,2025-03-07 18:17:17,Скоринговый балл ниже порога
APP-200120,Отказ,2025-03-25 12:43:39,Скоринговый балл ниже порога
APP-200121,Отказ,2025-05-12 20:24:22,Скоринговый балл ниже порога
APP-200122,Одобрено,2025-05-23 22:29:22,TEST
APP-200123,Одобрено,2025-03-12 06:56:46,Одобрено
APP-200124,Одобрено,2025-07-18 03:28:53,Одобрено
APP-200125,Одобрено,2025-04-29 04:40:42,Одобрено
APP-200126,Отказ,2025-06-21 14:11:32,Клиент не явился за средствами
APP-200127,Одобрено,2025-03-13 23:14:21,Одобрено
APP-200128,Отказ,2025-02-16 18:13:46,Скоринговый балл ниже порога
APP-200129,Отказ,2025-03-25 17:09:55,Клиент не явился за средствами
APP-200130,Отказ,2025-05-17 01:40:04,Высокая долговая нагрузка
APP-200131,Одобрено,2025-02-16 11:34:06,Одобрено
APP-200132,Одобрено,2025-02-24 05:07:42,Одобрено
APP-200133,Одобрено,2025-03-06 12:14:39,Одобрено
APP-200134,Отказ,2025-05-18 17:44:22,Скоринговый балл ниже порога
APP-200135,Одобрено,2025-03-02 14:03:02,Одобрено
APP-200136,Отказ,2025-08-01 17:19:43,Высокая долговая нагрузка
APP-200137,Одобрено,2025-04-07 10:34:50,Одобрено
APP-200138,Отказ,2025-01-18 04:18:48,Клиент отозвал заявку
APP-200139,Одобрено,2025-06-04 10:56:50,Одобрено
APP-200140,Отказ,2025-04-04 10:08:42,Высокая долговая нагрузка
APP-200141,Одобрено,2025-05-16 03:33:18,Одобрено
APP-200142,Отказ,2025-03-10 05:30:37,Клиент не явился за средствами
APP-200143,Одобрено,2025-04-14 08:58:07,Одобрено
APP-200144,Отказ,2025-04-17 00:14:05,Клиент не явился за средствами
APP-200145,Одобрено,2025-06-01 05:24:47,Одобрено
APP-200146,Одобрено,2025-05-02 02:11:43,Одобрено
APP-200147,Одобрено,2025-01-16 06:05:35,Одобрено
APP-200148,Одобрено,2025-01-31 06:56:52,Одобрено
APP-200149,Отказ,2025-07-27 02:11:04,Скоринговый балл ниже порога
APP-200150,Отказ,2025-04-16 20:43:10,Скоринговый балл ниже порога
APP-200151,Одобрено,2025-07-04 07:00:47,Одобрено
APP-200152,Одобрено,2025-07-22 15:11:43,Одобрено
APP-200153,Отказ,2025-01-28 00:40:40,Скоринговый балл ниже порога
APP-200154,Отказ,2025-01-11 20:13:47,Высокая долговая нагрузка
APP-200155,Отказ,2025-07-09 06:59:00,Клиент отозвал заявку
APP-200156,Одобрено,2025-01-25 17:07:16,Одобрено
APP-200157,Отказ,2025-04-06 21:14:31,Высокая долговая нагрузка
APP-200158,Одобрено,2025-01-30 01:50:14,Одобрено
APP-200159,Отказ,2025-02-04 22:03:29,Скоринговый балл ниже порога
APP-200160,Отказ,2025-03-04 01:26:41,Скоринговый балл ниже порога
APP-200161,Одобрено,2025-03-12 23:44:38,Одобрено
APP-200162,Одобрено,2025-02-22 12:36:46,Одобрено
APP-200163,Отказ,2025-05-07 12:43:34,Высокая долговая нагрузка
APP-200164,Отказ,2025-02-09 16:34:52,Скоринговый балл ниже порога
APP-200165,Одобрено,2025-02-06 13:02:12,Одобрено
APP-200166,Отказ,2025-02-26 04:29:30,Высокая долговая нагрузка
APP-200167,Одобрено,2025-07-11 09:25:47,Одобрено
APP-200168,Отказ,2025-05-04 00:06:25,Высокая долговая нагрузка
APP-200169,Отказ,2025-05-16 04:50:42,Скоринговый балл ниже порога
APP-200170,Отказ,2025-07-04 19:23:13,Скоринговый балл ниже порога
APP-200171,Отказ,2025-08-03 12:37:47,Неполный пакет документов
APP-200172,Одобрено,2025-07-18 01:03:46,TEST
APP-200173,Отказ,2025-05-16 13:59:18,Скоринговый балл ниже порога
APP-200174,Одобрено,2025-03-06 18:57:19,TEST
APP-200175,Отказ,2025-03-22 19:50:02,Скоринговый балл ниже порога
APP-200176,Одобрено,2025-02-15 03:39:54,Одобрено
APP-200177,Одобрено,2025-01-18 03:33:11,Одобрено
APP-200178,Одобрено,2025-03-15 09:59:36,Одобрено
APP-200179,Одобрено,2025-04-05 05:38:40,Одобрено
APP-200180,Одобрено,2025-04-01 22:15:34,Одобрено
APP-200181,Одобрено,2025-06-27 23:10:49,Одобрено
APP-200182,Одобрено,2025-06-08 05:08:24,Одобрено
APP-200183,Одобрено,2025-05-15 00:21:19,Одобрено
APP-200184,Отказ,2025-05-06 20:57:45,Скоринговый балл ниже порога
APP-200185,Отказ,2025-06-23 14:54:00,Скоринговый балл ниже порога
APP-200186,Отказ,2025-05-21 02:30:52,Высокая долговая нагрузка
APP-200187,Отказ,2025-05-02 18:44:20,Скоринговый балл ниже порога
APP-200188,Одобрено,2025-04-16 03:01:33,Одобрено
APP-200189,Одобрено,2025-02-24 17:34:22,Одобрено
APP-200190,Отказ,2025-02-18 02:19:28,Неполный пакет документов
APP-200192,Одобрено,2025-07-11 16:53:34,Одобрено
APP-200193,Отказ,2025-05-12 11:18:44,Неполный пакет документов
APP-200194,Отказ,2025-07-08 16:00:43,Скоринговый балл ниже порога
APP-200195,Одобрено,2025-06-01 03:03:16,Одобрено
APP-200196,Одобрено,2025-02-04 07:04:21,Одобрено
APP-200197,Одобрено,2025-06-17 22:42:35,Одобрено
APP-200198,Одобрено,2025-07-10 14:50:51,TEST
APP-200199,Одобрено,2025-02-19 03:46:25,Одобрено
APP-200200,Отказ,2025-07-13 05:27:09,Высокая долговая нагрузка
APP-200201,Отказ,2025-03-29 14:49:07,Скоринговый балл ниже порога
APP-200202,Одобрено,2025-03-27 12:53:02,Одобрено
APP-200203,Одобрено,2025-04-10 15:33:35,TEST
APP-200204,Одобрено,2025-08-04 09:40:27,Одобрено
APP-200205,Отказ,2025-06-10 16:50:21,Скоринговый балл ниже порога
APP-200206,Отказ,2025-02-05 00:19:22,Скоринговый балл ниже порога
APP-200207,Отказ,2025-01-21 18:22:14,Скоринговый балл ниже порога
APP-200208,Одобрено,2025-06-16 10:09:58,Одобрено
APP-200209,Отказ,2025-07-11 20:50:22,Неполный пакет документов
APP-200210,Одобрено,2025-04-25 13:24:32,Одобрено
APP-200211,Одобрено,2025-06-12 22:05:23,Одобрено
APP-200212,Отказ,2025-03-29 07:04:20,Клиент не явился за средствами
APP-200213,Отказ,2025-06-06 18:45:57,Скоринговый балл ниже порога
APP-200214,Отказ,2025-08-04 02:17:58,Скоринговый балл ниже порога
APP-200215,Одобрено,2025-01-11 00:28:30,Одобрено
APP-200216,Одобрено,2025-06-17 15:16:26,Одобрено
APP-200217,Отказ,2025-05-17 17:13:37,Клиент отозвал заявку
APP-200218,Отказ,2025-02-12 21:04:10,Скоринговый балл ниже порога
APP-200219,Одобрено,2025-02-28 05:59:03,Одобрено
APP-200220,Отказ,2025-03-12 15:56:20,Клиент не явился за средствами
APP-200221,Отказ,2025-01-27 10:07:42,Высокая долговая нагрузка
APP-200222,Одобрено,2025-05-10 10:58:03,Одобрено
APP-200223,Одобрено,2025-07-05 08:55:19,Одобрено
APP-200224,Одобрено,2025-01-22 03:02:46,Одобрено
APP-200225,Одобрено,2025-05-05 04:50:37,Одобрено
APP-200226,Отказ,2025-05-31 06:39:33,Высокая долговая нагрузка
APP-200227,Отказ,2025-02-06 20:14:18,Скоринговый балл ниже порога
APP-200228,Одобрено,2025-01-20 04:28:22,Одобрено
APP-200229,Одобрено,2025-03-28 12:51:47,Одобрено
APP-200230,Одобрено,2025-03-09 14:24:23,Одобрено
APP-200231,Отказ,2025-05-21 03:42:51,Клиент отозвал заявку
APP-200232,Одобрено,2025-03-15 08:26:26,Одобрено
APP-200233,Одобрено,2025-02-07 15:08:26,Одобрено
APP-200234,Отказ,2025-04-04 07:03:29,Клиент отозвал заявку
APP-200235,Одобрено,2025-07-05 10:42:44,Одобрено
APP-200236,Одобрено,2025-04-10 03:27:20,Одобрено
APP-200237,Отказ,2025-06-25 13:02:56,Клиент не явился за средствами
APP-200238,Одобрено,2025-01-22 07:25:38,Одобрено
APP-200239,Отказ,2025-02-18 02:08:53,Скоринговый балл ниже порога
APP-200240,Отказ,2025-05-03 16:30:46,Скоринговый балл ниже порога
APP-200241,Одобрено,2025-05-26 03:53:11,Одобрено
APP-200242,Отказ,2025-03-22 14:05:16,Клиент отозвал заявку
APP-200243,Отказ,2025-05-14 14:26:21,Высокая долговая нагрузка
APP-200244,Отказ,2025-06-12 19:15:47,Скоринговый балл ниже порога
APP-200245,Отказ,2025-04-28 05:56:53,Высокая долговая нагрузка
APP-200246,Одобрено,2025-03-06 20:39:14,Одобрено
APP-200247,Одобрено,2025-03-13 15:34:23,Одобрено
APP-200248,Одобрено,2025-01-22 20:26:58,Одобрено
APP-200249,Отказ,2025-07-07 17:12:26,Высокая долговая нагрузка
APP-200250,Одобрено,2025-01-27 03:03:06,Одобрено
APP-200251,Отказ,2025-02-18 19:03:27,Скоринговый балл ниже порога
APP-200252,Одобрено,2025-06-04 12:47:27,Одобрено
APP-200254,Одобрено,2025-02-04 21:23:15,Одобрено
APP-200255,Одобрено,2025-07-28 21:17:58,Одобрено
APP-200256,Одобрено,2025-02-18 06:45:46,Одобрено
APP-200257,Одобрено,2025-07-07 01:23:27,Одобрено
APP-200258,Отказ,2025-07-20 03:57:48,Клиент не явился за средствами
APP-200259,Одобрено,2025-07-04 08:33:05,Одобрено
APP-200260,Отказ,2025-04-30 16:39:15,Неполный пакет документов
APP-200261,Одобрено,2025-01-25 04:31:42,Одобрено
APP-200262,Отказ,2025-06-17 05:57:43,Высокая долговая нагрузка
APP-200263,Отказ,2025-01-11 17:43:00,Скоринговый балл ниже порога
APP-200264,Отказ,2025-07-11 02:44:34,Скоринговый балл ниже порога
APP-200265,Одобрено,2025-05-28 08:02:01,Одобрено
APP-200266,Одобрено,2025-02-20 00:29:20,Одобрено
APP-200267,Одобрено,2025-03-01 16:59:23,Одобрено
APP-200268,Отказ,2025-04-10 11:10:48,Высокая долговая нагрузка
APP-200269,Одобрено,2025-01-15 01:45:15,Одобрено
APP-200270,Отказ,2025-06-21 17:23:42,Скоринговый балл ниже порога
APP-200271,Отказ,2025-03-21 19:03:06,Неполный пакет документов
APP-200272,Отказ,2025-06-01 14:40:46,Высокая долговая нагрузка
APP-200273,Отказ,2025-06-30 20:10:41,Высокая долговая нагрузка
APP-200274,Отказ,2025-05-27 13:12:09,Скоринговый балл ниже порога
APP-200275,Одобрено,2025-03-09 16:36:33,Одобрено
APP-200276,Отказ,2025-05-26 01:58:02,Высокая долговая нагрузка
APP-200277,Одобрено,2025-07-17 06:01:36,Одобрено
APP-200278,Отказ,2025-06-01 13:07:41,Клиент не явился за средствами
APP-200279,Отказ,2025-06-20 18:57:11,Высокая долговая нагрузка
APP-200280,Отказ,2025-07-10 13:38:09,Скоринговый балл ниже порога
APP-200281,Одобрено,2025-01-11 02:12:49,Одобрено
APP-200282,Отказ,2025-03-13 12:17:18,Скоринговый балл ниже порога
APP-200283,Одобрено,2025-02-15 02:31:35,Одобрено
APP-200284,Отказ,2025-07-22 02:17:14,Высокая долговая нагрузка
APP-200285,Отказ,2025-02-28 16:53:30,Скоринговый балл ниже порога
APP-200286,Отказ,2025-04-26 03:23:36,Высокая долговая нагрузка
APP-200287,Одобрено,2025-06-15 05:18:51,Одобрено
APP-200288,Отказ,2025-06-07 20:01:36,Высокая долговая нагрузка
APP-200289,Отказ,2025-05-17 17:22:41,Клиент не явился за средствами
APP-200290,Отказ,2025-02-02 12:45:25,Клиент не явился за средствами
APP-200291,Одобрено,2025-04-25 12:12:31,Одобрено
APP-200292,Отказ,2025-02-10 01:25:19,Клиент не явился за средствами
APP-200293,Одобрено,2025-06-14 11:09:55,Одобрено
APP-200294,Отказ,2025-04-04 22:01:49,Скоринговый балл ниже порога
APP-200295,Отказ,2025-05-15 11:39:25,Клиент отозвал заявку
APP-200296,Отказ,2025-07-31 18:17:49,Скоринговый балл ниже порога
APP-200297,Одобрено,2025-02-25 01:59:27,Одобрено
APP-200298,Отказ,2025-07-18 12:34:38,Высокая долговая нагрузка
APP-200299,Отказ,2025-02-24 19:33:01,Скоринговый балл ниже порога
APP-200300,Отказ,2025-01-28 19:54:04,Скоринговый балл ниже порога
APP-200301,Одобрено,2025-04-29 21:53:32,Одобрено
APP-200302,Отказ,2025-03-15 22:35:28,Скоринговый балл ниже порога
APP-200303,Одобрено,2025-05-26 11:54:41,Одобрено
APP-200304,Отказ,2025-02-21 05:19:39,Высокая долговая нагрузка
APP-200305,Отказ,2025-05-10 23:02:50,Клиент отозвал заявку
APP-200306,Одобрено,2025-02-01 20:52:23,Одобрено
APP-200307,Одобрено,2025-02-08 17:58:20,Одобрено
APP-200308,Отказ,2025-06-14 14:30:49,Скоринговый балл ниже порога
APP-200309,Отказ,2025-07-31 05:12:33,Высокая долговая нагрузка
APP-200310,Одобрено,2025-04-13 18:45:16,Одобрено
APP-200311,Отказ,2025-05-15 17:51:35,Высокая долговая нагрузка
APP-200312,Одобрено,2025-03-12 02:19:57,Одобрено
APP-200313,Одобрено,2025-07-01 21:41:54,Одобрено
APP-200314,Одобрено,2025-06-22 09:23:56,Одобрено
APP-200315,Одобрено,2025-07-27 21:18:13,Одобрено
APP-200316,Одобрено,2025-02-26 12:14:54,Одобрено
APP-200317,Отказ,2025-03-26 12:47:30,Неполный пакет документов
APP-200319,Отказ,2025-01-15 05:58:11,Высокая долговая нагрузка
APP-200320,Одобрено,2025-05-24 00:51:25,Одобрено
APP-200321,Одобрено,2025-05-21 18:22:52,Одобрено
APP-200322,Отказ,2025-05-15 15:08:41,Неполный пакет документов
APP-200323,Одобрено,2025-06-17 11:30:11,Одобрено
APP-200324,Отказ,2025-01-09 12:57:55,Неполный пакет документов
APP-200325,Одобрено,2025-06-19 22:45:28,Одобрено
APP-200326,Отказ,2025-04-27 23:52:27,Клиент не явился за средствами
APP-200327,Отказ,2025-07-17 17:12:23,Скоринговый балл ниже порога
APP-200328,Отказ,2025-02-14 10:19:00,Высокая долговая нагрузка
APP-200329,Отказ,2025-01-26 14:16:49,Скоринговый балл ниже порога
APP-200330,Отказ,2025-06-21 10:12:47,Высокая долговая нагрузка
APP-200331,Одобрено,2025-01-29 21:50:27,Одобрено
APP-200332,Одобрено,2025-03-10 23:18:26,Одобрено
APP-200333,Отказ,2025-01-22 07:47:27,Клиент не явился за средствами
APP-200334,Отказ,2025-07-22 14:25:47,Скоринговый балл ниже порога
APP-200335,Отказ,2025-07-01 17:32:13,Клиент не явился за средствами
APP-200336,Одобрено,2025-02-17 11:18:59,Одобрено
APP-200337,Отказ,2025-03-12 22:37:36,Высокая долговая нагрузка
APP-200338,Отказ,2025-03-04 19:15:05,Скоринговый балл ниже порога
APP-200339,Отказ,2025-03-18 13:46:39,Высокая долговая нагрузка
APP-200340,Одобрено,2025-07-24 16:10:19,Одобрено
APP-200341,Одобрено,2025-06-08 07:27:14,Одобрено
APP-200342,Одобрено,2025-07-31 17:31:42,Одобрено
APP-200343,Отказ,2025-06-13 22:33:14,Скоринговый балл ниже порога
APP-200344,Одобрено,2025-03-03 16:22:29,Одобрено
APP-200345,Одобрено,2025-07-11 14:23:30,Одобрено
APP-200346,Одобрено,2025-03-11 11:30:52,Одобрено
APP-200347,Отказ,2025-04-15 07:47:56,Клиент не явился за средствами
APP-200348,Отказ,2025-02-24 22:09:41,Высокая долговая нагрузка
APP-200349,Отказ,2025-07-14 15:18:44,Скоринговый балл ниже порога
APP-200350,Одобрено,2025-01-23 18:56:20,Одобрено
APP-200351,Одобрено,2025-07-29 02:54:27,Одобрено
APP-200352,Одобрено,2025-05-05 02:59:14,Одобрено
APP-200353,Одобрено,2025-04-08 14:44:24,Одобрено
APP-200354,Одобрено,2025-04-04 21:16:08,Одобрено
APP-200355,Отказ,2025-01-28 17:12:24,Неполный пакет документов
APP-200357,Одобрено,2025-05-30 18:08:26,Одобрено
APP-200358,Отказ,2025-01-29 13:31:40,Неполный пакет документов
APP-200359,Одобрено,2025-07-18 10:39:03,Одобрено
APP-200360,Одобрено,2025-04-28 07:30:18,Одобрено
APP-200361,Отказ,2025-02-04 01:41:42,Скоринговый балл ниже порога
APP-200362,Отказ,2025-06-03 15:02:43,Неполный пакет документов
APP-200363,Отказ,2025-04-30 16:24:03,Скоринговый балл ниже порога
APP-200364,Одобрено,2025-05-05 23:29:32,Одобрено
APP-200366,Отказ,2025-06-09 03:07:13,Высокая долговая нагрузка
APP-200367,Отказ,2025-03-29 22:31:01,Скоринговый балл ниже порога
APP-200368,Одобрено,2025-03-26 03:51:34,Одобрено
APP-200369,Отказ,2025-04-19 22:18:44,Клиент отозвал заявку
APP-200370,Отказ,2025-05-10 16:15:39,Высокая долговая нагрузка
APP-200371,Одобрено,2025-06-09 03:04:23,Одобрено
APP-200372,Отказ,2025-05-01 07:22:07,Высокая долговая нагрузка
APP-200373,Отказ,2025-06-29 02:51:03,Клиент не явился за средствами
APP-200374,Отказ,2025-05-10 20:57:07,Скоринговый балл ниже порога
APP-200375,Одобрено,2025-03-10 21:04:21,Одобрено
APP-200376,Отказ,2025-05-05 00:28:43,Скоринговый балл ниже порога
APP-200377,Отказ,2025-04-19 23:52:06,Скоринговый балл ниже порога
APP-200378,Одобрено,2025-03-10 01:48:30,Одобрено
APP-200379,Одобрено,2025-04-18 20:24:54,Одобрено
APP-200380,Отказ,2025-07-01 01:29:43,Высокая долговая нагрузка
APP-200381,Отказ,2025-03-18 13:47:08,Скоринговый балл ниже порога
APP-200382,Одобрено,2025-03-25 11:29:29,Одобрено
APP-200383,Одобрено,2025-04-29 14:42:06,Одобрено
APP-200384,Отказ,2025-04-28 13:41:25,Клиент отозвал заявку
APP-200385,Одобрено,2025-02-18 08:35:07,Одобрено
APP-200386,Одобрено,2025-03-12 05:15:49,Одобрено
APP-200387,Одобрено,2025-04-30 05:02:36,Одобрено
APP-200388,Одобрено,2025-04-08 23:03:53,Одобрено
APP-200389,Отказ,2025-03-08 21:16:30,Клиент не явился за средствами
APP-200390,Отказ,2025-05-14 10:11:30,Клиент не явился за средствами
APP-200391,Отказ,2025-07-24 14:47:57,Клиент не явился за средствами
APP-200392,Отказ,2025-06-07 22:07:04,Высокая долговая нагрузка
APP-200393,Отказ,2025-04-05 02:59:55,Скоринговый балл ниже порога
APP-200394,Одобрено,2025-07-31 03:59:43,Одобрено
APP-200395,Отказ,2025-05-07 23:45:51,Скоринговый балл ниже порога
APP-200396,Отказ,2025-06-04 09:37:36,Клиент отозвал заявку
APP-200397,Одобрено,2025-03-15 00:17:13,Одобрено
APP-200398,Одобрено,2025-02-04 01:12:45,Одобрено
APP-200399,Одобрено,2025-02-12 22:36:42,Одобрено
APP-200400,Одобрено,2025-02-02 19:55:54,Одобрено
APP-200401,Одобрено,2025-02-03 23:03:08,Одобрено
APP-200402,Одобрено,2025-04-23 00:14:13,Одобрено
APP-200403,Одобрено,2025-04-11 20:35:35,Одобрено
APP-200404,Одобрено,2025-06-20 07:59:16,Одобрено
APP-200405,Одобрено,2025-05-02 05:03:54,Одобрено
APP-200406,Отказ,2025-07-03 20:19:21,Скоринговый балл ниже порога
APP-200407,Отказ,2025-06-12 02:57:08,Высокая долговая нагрузка
APP-200408,Одобрено,2025-06-28 06:11:17,Одобрено
APP-200409,Одобрено,2025-04-08 13:55:42,Одобрено
APP-200410,Отказ,2025-04-20 04:01:55,Высокая долговая нагрузка
APP-200411,Отказ,2025-06-30 13:33:12,Высокая долговая нагрузка
APP-200412,Отказ,2025-06-27 01:25:27,Высокая долговая нагрузка
APP-200413,Отказ,2025-05-22 21:50:05,Скоринговый балл ниже порога
APP-200414,Отказ,2025-03-18 18:28:20,Клиент отозвал заявку
APP-200415,Отказ,2025-06-03 15:51:53,Скоринговый балл ниже порога
APP-200416,Одобрено,2025-05-08 18:48:03,Одобрено
APP-200417,Одобрено,2025-06-24 16:27:44,Одобрено
