id_клиента;возраст;доход_тыс_руб;средний_остаток_тыс_руб;операций_в_месяц;доля_цифровых_операций
102324;37;158;1048;23;0,73
100041;31;94;118;53;0,70
100429;34;61;117;39;0,84
101965;54;276;1760;8;0,24
100550;30;128;225;51;0,99
100178;30;121;106;58;0,90
102104;43;207;1169;45;0,81
101177;33;146;107;55;0,88
102391;51;218;1098;29;0,83
100562;34;84;123;55;0,96
102964;50;248;546;28;0,97
102373;50;270;1341;42;0,93
100630;31;109;106;40;0,93
100319;31;103;77;42;0,86
102998;45;187;773;36;0,76
100645;29;95;237;58;0,90
102948;44;288;1794;49;0,79
100679;35;79;97;28;0,94
102030;53;204;1838;30;0,76
100141;33;107;147;39;0,84
101660;56;246;1408;18;0,34
100258;27;89;216;59;0,84
101854;53;198;1348;15;0,22
102119;51;228;605;37;0,78
102213;43;281;1460;34;0,89
100769;26;78;261;38;0,81
101981;49;177;2265;20;0,28
102977;58;153;1298;25;0,81
101292;36;116;99;16;0,82
100867;27;107;163;32;0,90
101155;24;94;139;31;0,85
102179;47;229;1166;34;0,76
102848;42;241;1062;39;0,94
100226;25;71;106;26;0,84
101112;26;92;245;47;0,84
101454;45;274;2593;14;0,19
100324;24;79;140;42;0,98
100363;33;81;41;31;0,90
101802;52;211;1819;6;0,33
100012;32;72;81;56;0,82
102812;47;147;1101;28;0,85
100133;31;84;204;39;0,87
101615;58;230;2103;13;0,27
102931;38;228;1209;41;0,91
101614;61;212;2297;15;0,46
100112;26;110;85;55;0,94
101129;35;109;136;68;0,86
101762;45;250;2560;11;0,26
102570;47;238;1754;31;0,85
102482;45;227;281;37;0,87
102343;54;286;461;45;0,85
102637;47;257;2040;33;0,85
101338;54;213;1065;12;0,38
102892;53;292;1281;50;0,70
101850;51;140;2194;21;0,33
100201;29;98;66;62;0,80
102273;49;149;228;30;0,98
101741;61;334;1874;11;0,35
102243;50;211;1636;37;0,72
102769;57;204;660;47;0,83
102398;50;194;1866;38;0,91
100530;30;108;88;38;0,88
100091;29;95;130;42;0,89
100033;24;119;69;55;0,99
102866;51;165;982;49;0,83
100345;21;107;129;26;0,87
101344;55;239;1930;18;0,35
102105;50;164;1447;38;0,95
102239;52;214;1574;26;0,80
102447;48;162;1344;41;0,90
100963;33;108;205;54;0,89
102237;54;186;1528;47;0,79
102158;44;148;1393;33;0,76
100853;32;106;91;40;0,90
101806;52;265;1797;14;0,32
101206;32;109;229;57;0,99
102979;62;120;1243;41;0,91
101954;56;252;2400;17;0,38
102704;53;240;1066;45;0,72
101948;57;193;1423;20;0,08
100609;26;73;137;51;0,86
100752;29;114;177;33;0,78
100250;24;75;203;46;0,87
101157;31;112;90;33;0,85
100394;26;96;137;46;0,84
102888;43;205;885;12;0,94
102390;55;254;932;33;0,94
101655;58;303;1239;22;0,34
101570;44;261;2129;7;0,26
100126;27;78;101;24;0,99
101728;41;169;1070;7;0,20
101085;27;110;84;42;0,94
102766;50;195;965;38;0,88
102608;59;212;1235;37;0,85
102150;49;230;1959;33;0,78
102743;49;196;1481;29;0,83
100598;28;60;7;37;0,85
102172;45;236;1526;49;0,82
101105;21;109;118;52;0,72
101335;54;291;1061;6;0,33
102449;47;183;965;30;0,74
101186;30;91;33;59;0,74
101819;58;288;1047;16;0,18
100245;32;98;129;47;0,92
102440;46;247;1841;38;0,93
102572;52;263;880;34;0,87
101127;26;83;166;64;0,99
101674;53;257;1902;16;0,19
102127;38;248;1614;48;0,80
100965;29;78;121;37;0,88
102013;52;252;1087;41;0,87
102168;46;121;1552;54;0,81
102654;50;268;2315;48;0,80
100002;29;111;121;51;0,85
102355;50;193;5;36;0,78
101161;29;37;38;50;0,93
100357;28;137;177;30;0,92
102593;45;189;1113;22;0,77
100127;29;108;190;48;0,78
101568;45;171;1972;18;0,11
100213;26;93;121;54;0,83
101214;29;62;83;45;0,84
102133;48;212;1837;42;0,85
101151;33;88;5;36;0,85
100705;24;82;176;54;0,93
102980;43;246;1135;34;0,84
101481;54;315;1169;14;0,20
101537;52;271;1995;10;0,40
102218;60;229;2260;25;0,84
101995;55;294;1925;8;0,02
102741;52;262;1376;18;0,80
101521;66;239;2484;15;0,28
101370;52;216;1935;17;0,17
100831;36;112;147;44;0,89
101863;55;226;1175;9;0,27
100104;24;127;126;34;0,90
102936;54;176;444;22;0,94
100778;31;117;99;47;0,99
101125;34;125;133;35;0,86
101260;33;86;153;53;0,90
100524;22;86;149;39;0,82
100803;25;115;211;41;0,92
100396;22;86;114;53;0,91
100284;21;82;77;25;0,79
101444;59;220;2725;11;0,23
100434;29;103;134;53;0,93
102567;49;294;1474;25;0,87
101906;50;194;1697;20;0,29
100818;23;95;151;52;0,99
102910;43;182;1639;51;0,99
102701;55;186;1360;50;0,73
102075;46;132;430;35;0,78
102705;48;271;2034;28;0,88
100489;22;85;123;49;0,83
102631;54;202;1688;19;0,78
100975;27;122;170;59;0,81
102961;52;189;1970;38;0,91
102792;51;218;1041;32;0,86
101478;55;170;1872;19;0,23
100071;30;76;146;41;0,86
101426;49;232;1925;9;0,08
100757;31;85;139;49;0,97
101494;61;184;1225;22;0,24
101286;26;106;107;33;0,80
102779;49;196;1559;32;0,74
102451;54;214;1895;37;0,97
102563;53;208;947;37;0,80
101109;30;57;97;48;0,80
102054;44;257;506;41;0,88
102522;38;237;1520;61;0,95
100356;28;78;178;51;0,94
102264;52;190;1161;41;0,81
101855;62;118;2054;12;0,19
100663;25;87;228;34;0,76
100655;30;106;81;58;0,86
101318;55;195;2692;7;0,29
102604;55;271;890;38;0,75
100055;25;106;98;43;0,80
101347;55;282;3336;20;0,31
101758;54;174;1916;7;0,23
100587;37;86;79;46;0,82
102733;47;209;1066;28;0,89
101294;31;77;248;57;0,81
101050;34;104;82;48;0,81
101679;56;309;2932;11;0,35
101330;53;264;2439;15;0,09
100474;28;128;138;57;0,82
101704;54;232;1388;12;0,14
102558;45;257;1688;42;0,78
102049;52;222;1040;44;0,92
101729;51;311;1290;20;0,22
102937;53;234;1683;44;0,79
102532;48;205;1416;32;0,83
100654;22;119;170;34;0,92
101110;21;106;61;28;0,99
101608;62;251;2170;14;0,28
102197;51;180;1217;27;0,82
101283;26;106;105;35;0,84
102690;57;235;967;31;0,71
100276;32;123;121;51;0,97
101557;55;170;2429;9;0,20
101805;58;294;2414;18;0,34
101817;52;195;786;12;0,32
100495;26;93;190;34;0,86
100260;30;106;154;21;0,78
102212;48;133;1376;40;0,99
101931;63;227;1066;6;0,37
101707;54;224;1708;18;0,21
102003;49;164;1191;40;0,99
101832;47;264;2160;14;0,32
102571;49;146;1197;43;0,87
102691;49;219;1518;35;0,88
100008;36;97;35;33;0,95
102668;56;213;1246;35;0,77
102235;51;219;2152;45;0,75
101937;54;217;2194;12;0,26
100118;35;71;23;62;0,82
102271;50;188;2072;37;0,93
101959;51;197;1183;13;0,25
101332;55;155;2138;17;0,12
100246;27;121;130;40;0,82
101468;54;256;1463;10;0,40
100311;32;87;88;38;0,94
102903;50;236;1549;42;0,95
100825;28;71;146;40;0,74
101054;28;69;152;51;0,79
102461;52;280;1508;17;0,88
100843;23;129;268;47;0,88
102455;48;201;1459;29;0,78
102748;41;258;1311;33;0,85
102821;48;238;1405;61;0,84
100182;27;127;70;55;0,84
102456;51;209;1592;48;0,84
102497;45;211;1025;41;0,80
102471;55;195;2025;35;0,88
102580;44;255;1819;55;0,81
102120;55;141;590;56;0,86
102411;43;268;1408;35;0,99
100733;32;107;219;54;0,94
100085;30;146;212;44;0,91
100448;37;100;124;52;0,91
100297;23;82;5;54;0,88
101456;52;196;1482;8;0,30
100648;32;120;191;45;0,82
101296;26;102;27;28;0,99
102975;55;238;1534;39;0,79
101913;51;257;1376;18;0,16
100765;25;90;100;55;0,94
102686;53;226;1260;49;0,88
101249;31;129;135;33;0,99
102670;48;203;2736;18;0,90
100352;33;121;53;60;0,77
102884;50;176;2033;27;0,80
101323;55;280;1996;14;0,23
102515;43;201;1600;30;0,77
101407;48;252;1415;8;0,21
102971;54;195;1615;35;0,70
100711;31;91;70;40;0,84
102968;54;202;1873;36;0,80
100717;33;88;165;71;0,85
101852;57;202;1862;9;0,29
100073;31;76;49;30;0,78
102265;36;205;1816;40;0,85
100720;32;87;94;46;0,76
102915;49;291;1186;37;0,94
101265;27;71;169;47;0,90
100569;33;101;112;40;0,96
100070;21;86;140;32;0,80
101312;48;234;2118;19;0,20
100163;23;128;5;54;0,83
101357;52;251;1244;3;0,38
102266;54;183;944;22;0,78
100531;30;101;148;67;0,97
102315;51;204;1388;54;0,79
100935;28;91;61;46;0,87
101399;54;183;1008;5;0,13
100827;21;132;62;45;0,70
100172;28;104;79;31;0,90
102765;44;180;2081;53;0,94
101715;56;230;1879;21;0,14
102097;47;182;643;28;0,93
101046;31;106;11;44;0,89
101364;49;196;1351;19;0,05
102077;41;188;1653;16;0,80
102024;44;217;1941;49;0,74
102818;52;198;1249;42;0,83
100487;21;62;14;42;0,89
100960;35;124;167;53;0,95
101331;58;255;1336;11;0,29
101475;61;306;2075;13;0,13
100946;28;101;129;34;0,83
102959;56;202;905;31;0,80
100909;32;118;111;50;0,91
101784;65;270;2006;22;0,36
102422;39;165;1536;54;0,83
102157;46;228;1335;47;0,72
102600;48;273;457;41;0,90
100372;32;121;166;53;0,66
102912;50;289;1438;34;0,83
102810;52;186;1894;26;0,90
102285;50;173;1248;35;0,78
100710;26;124;164;29;0,91
102396;43;257;1806;30;0,66
102692;41;234;1819;28;0,98
101847;57;231;548;16;0,29
100437;24;114;186;41;0,77
101512;52;277;1289;15;0,18
101706;49;228;1895;7;0,31
100554;29;95;154;54;0,90
102889;50;238;976;48;0,88
102710;40;201;1432;45;0,83
102696;56;250;1830;51;0,78
102603;47;261;2069;37;0,76
102757;45;236;1623;39;0,93
100265;24;78;156;36;0,92
101123;22;101;22;48;0,90
101381;48;262;1448;11;0,34
101159;31;106;181;64;0,96
101138;31;60;145;42;0,88
100468;33;102;24;50;0,83
100944;26;117;266;22;0,88
101287;21;130;5;27;0,91
101740;47;204;2511;18;0,07
101277;28;95;224;38;0,91
102595;49;235;1115;46;0,80
101516;54;182;2213;14;0,34
100681;27;48;65;46;0,83
100588;32;77;97;42;0,90
102164;49;233;1046;35;0,87
100894;29;127;92;43;0,80
102552;56;198;1514;43;0,83
102774;46;174;1534;41;0,67
100281;27;146;224;56;0,89
101097;27;130;232;53;0,81
100321;37;103;168;41;0,84
100314;28;57;151;52;0,89
100989;28;82;135;42;0,81
102131;59;160;1574;35;0,93
101256;35;105;148;48;0,88
102492;47;210;1179;29;0,86
100238;22;80;195;58;0,71
102109;42;232;2117;38;0,78
100835;32;103;96;46;0,88
100056;24;83;133;42;0,89
101695;57;224;901;14;0,07
100555;29;128;152;32;0,68
101822;58;289;1510;19;0,25
102033;53;201;1294;36;0,82
101008;29;91;149;49;0,89
100140;28;73;111;47;0,75
101185;33;134;201;38;0,84
101536;55;169;2507;7;0,22
101172;30;101;121;53;0,93
101865;56;248;1142;14;0,27
101638;49;195;2320;9;0,19
100457;27;72;138;51;0,88
102881;49;219;736;30;0,90
100361;29;114;168;51;0,81
101362;58;309;2053;15;0,22
101317;50;160;2351;10;0,39
100660;37;83;183;32;0,90
102541;50;241;1287;50;0,89
100442;29;115;53;25;0,84
102816;52;295;1757;40;0,82
100915;30;98;203;34;0,72
102499;45;211;1791;27;0,89
102129;42;237;1606;31;0,97
101213;22;117;155;40;0,79
100566;34;143;116;45;0,75
102530;56;266;1445;54;0,76
101048;26;78;24;52;0,90
102228;56;177;1132;42;0,80
101934;53;243;1603;15;0,25
100418;35;118;122;58;0,95
100988;24;102;87;42;0,82
102790;53;201;705;26;0,95
101530;59;259;1545;13;0,25
101329;47;197;1910;11;0,36
100556;28;104;161;42;0,90
101662;49;161;1470;11;0,18
102389;52;214;1781;29;0,81
101158;28;105;41;39;0,77
100911;26;104;189;29;0,90
101485;59;259;2228;16;0,22
102022;55;242;792;24;0,87
101063;30;98;198;58;0,95
102574;50;225;1776;45;0,79
102782;58;249;2032;24;0,79
101694;55;156;2049;10;0,46
101788;50;216;2788;15;0,02
100053;29;77;77;50;0,87
101939;55;218;2697;16;0,32
102361;52;212;1073;27;0,72
100901;21;108;112;35;0,87
102329;39;178;1083;42;0,78
102448;58;199;1336;53;0,85
102006;55;200;1645;27;0,83
102872;44;160;1171;27;0,80
101593;52;301;2476;16;0,24
101578;55;183;2026;16;0,22
102783;48;187;2229;35;0,89
101374;59;266;2065;11;0,19
100937;24;61;225;43;0,88
101305;53;210;2213;9;0,08
101714;60;274;2567;12;0,36
102409;47;253;1742;42;0,81
101979;48;238;1459;13;0,38
101896;53;263;1914;9;0,40
100641;28;100;242;54;0,86
100461;30;86;5;44;0,85
102662;47;225;1344;41;0,77
103000;60;189;948;38;0,89
102896;44;186;1290;32;0,75
102557;56;232;1219;50;0,78
101166;27;103;175;59;0,91
102708;47;211;1738;38;0,86
100227;30;87;5;74;0,84
100770;27;92;188;38;0,92
100923;27;100;63;37;0,87
101391;49;239;1919;10;0,10
101665;46;255;1321;14;0,10
102992;41;208;514;30;0,79
101358;47;233;2491;11;0,17
101653;56;321;2290;18;0,34
100987;29;60;115;45;0,97
100972;33;77;170;36;0,90
100416;31;55;116;48;0,85
101051;29;142;95;41;0,79
100819;27;113;74;61;0,75
102290;44;248;1018;34;0,94
102924;46;251;2202;37;0,85
101630;50;319;1874;17;0,24
101531;49;263;3020;2;0,35
100262;23;70;77;45;0,94
102777;48;202;2136;37;0,82
101077;29;91;147;58;0,79
101511;49;216;1583;15;0,24
100945;22;73;58;28;0,99
101349;49;218;1970;13;0,21
101697;58;157;2519;14;0,10
100589;25;98;91;42;0,92
101780;46;254;2164;8;0,28
100518;25;92;150;49;0,92
101480;50;242;3567;18;0,27
100938;21;118;38;29;0,86
101368;57;243;1668;14;0,20
102144;43;147;1843;40;0,80
101182;36;91;143;59;0,96
102130;49;242;1367;34;0,84
102667;47;211;1239;51;0,80
101144;33;49;66;45;0,92
100907;31;72;178;33;0,83
102905;42;155;1696;42;0,83
102137;49;182;558;24;0,85
102539;47;223;754;44;0,84
100499;22;109;70;47;0,86
101956;57;246;2963;14;0,18
100223;29;103;166;62;0,89
100509;32;90;182;55;0,97
102206;49;192;884;30;0,73
100460;26;66;220;52;0,88
101395;53;157;1385;5;0,33
100617;25;141;94;45;0,88
100649;32;79;135;54;0,79
101377;52;264;1875;16;0,29
102739;46;261;2456;37;0,77
101868;45;297;2144;18;0,33
102021;44;287;1243;50;0,88
101848;56;329;1410;16;0,29
100377;30;70;20;41;0,82
101528;50;271;1071;4;0,25
100850;21;87;135;45;0,91
102111;58;201;1925;39;0,75
100961;28;85;111;61;0,86
100199;25;130;116;55;0,94
100668;31;83;91;56;0,72
101229;29;85;126;44;0,88
101307;62;182;2384;22;0,19
101713;53;262;1030;15;0,24
100237;25;120;175;64;0,90
100861;27;105;108;29;0,96
102579;49;179;1060;39;0,93
100180;30;104;144;57;0,87
100344;27;81;173;47;0,80
102589;56;161;718;48;0,94
101403;56;250;1156;6;0,23
102904;50;224;1834;36;0,79
100234;31;83;152;62;0,84
100061;28;84;79;79;0,87
100906;31;82;157;36;0,88
101200;26;120;168;35;0,99
101169;33;107;100;39;0,87
102059;47;188;1282;37;0,86
100929;26;75;136;69;0,82
102951;50;141;381;30;0,77
100207;28;117;173;34;0,77
100986;33;85;78;35;0,93
101696;57;257;2427;10;0,23
100046;33;105;90;54;0,93
102335;58;226;2275;37;0,88
100052;24;90;116;35;0,81
101041;27;112;213;46;0,90
101509;51;253;1451;19;0,32
101609;55;154;1161;15;0,28
102330;46;214;1925;32;0,79
102387;53;243;1615;29;0,76
101690;47;195;1673;17;0,10
101622;47;257;875;9;0,15
102981;50;204;1452;44;0,74
102798;53;243;1065;30;0,79
100084;32;98;162;46;0,83
102278;49;205;1527;32;0,79
101828;62;208;1618;11;0,18
102528;50;220;772;40;0,83
100684;27;72;96;51;0,85
100956;27;90;150;74;0,85
100004;31;123;102;58;0,85
100458;30;98;117;44;0,83
102747;46;184;1375;47;0,79
100068;33;110;228;63;0,79
100949;26;94;108;42;0,93
102100;46;244;1697;53;0,98
100772;28;78;40;57;0,89
100465;25;108;107;46;0,74
102369;51;229;1156;28;0,99
102375;42;282;1336;36;0,86
102501;48;182;599;33;0,88
102857;58;250;1137;49;0,74
100109;26;53;86;67;0,93
101243;33;115;107;71;0,82
102096;43;227;1266;38;0,89
100608;31;87;152;38;0,86
101343;52;222;1561;20;0,33
100926;34;104;93;51;0,76
100908;24;96;95;34;0,85
101230;37;63;179;36;0,73
102125;55;198;1540;28;0,74
101621;50;237;1662;8;0,29
101551;64;258;1302;17;0,23
100723;31;86;96;51;0,84
102514;56;222;1825;34;0,79
101738;61;242;2233;15;0,18
101380;50;273;918;6;0,31
100625;32;110;82;55;0,84
102452;56;160;1382;48;0,95
101084;36;98;184;40;0,94
102472;49;215;1504;54;0,96
101702;50;206;1433;10;0,19
101710;58;265;1903;11;0,30
100541;35;91;236;34;0,94
102649;49;200;1699;27;0,87
102745;44;265;1262;49;0,99
100353;29;74;71;39;0,86
101945;42;240;2398;14;0,12
100277;38;96;85;58;0,90
102333;48;243;812;56;0,82
101140;36;103;5;48;0,89
101093;21;67;5;49;0,79
102300;49;209;1838;27;0,78
101215;27;89;133;73;0,83
100801;30;74;5;54;0,92
100355;30;75;88;49;0,81
101111;30;89;169;55;0,78
101156;32;96;95;56;0,82
100417;23;129;99;28;0,98
102027;50;240;1686;20;0,84
100940;39;66;212;52;0,70
101851;53;125;1972;14;0,11
100097;30;106;124;38;0,84
101949;55;245;1382;26;0,29
101345;56;155;1526;17;0,31
102657;53;170;1458;58;0,88
100019;26;72;19;38;0,79
101269;28;109;78;33;0,88
100378;32;124;96;26;0,69
102294;50;252;2510;22;0,92
102824;53;228;774;39;0,92
100431;32;91;141;37;0,80
100939;25;73;122;51;0,90
102542;51;231;1766;27;0,72
101076;28;118;114;32;0,70
102418;46;250;1447;41;0,90
101217;32;106;249;49;0,87
101352;60;258;1730;6;0,14
102161;60;177;1911;39;0,78
102714;45;206;1296;33;0,71
101007;27;104;102;38;0,87
100308;35;76;74;67;0,87
100336;28;124;165;46;0,94
101290;25;83;150;55;0,85
100296;28;102;50;28;0,98
100005;33;112;68;46;0,80
102443;41;172;788;20;0,81
102014;40;238;1033;34;0,95
100393;22;104;139;58;0,79
101542;44;246;2093;19;0,30
100062;25;108;6;52;0,77
101098;30;67;84;35;0,69
102146;53;242;1646;44;0,89
101577;58;248;2352;15;0,24
102805;48;232;2606;25;0,81
102737;39;212;645;36;0,82
100350;29;103;61;46;0,86
102362;53;205;697;26;0,91
100725;26;101;117;60;0,83
101628;58;204;1657;12;0,25
100501;30;63;233;67;0,87
100438;26;92;209;37;0,88
101499;64;203;2248;22;0,21
102371;58;268;1999;63;0,92
102947;54;288;2202;42;0,88
101932;56;256;2238;9;0,23
101355;48;242;1540;6;0,19
101223;29;71;181;37;0,88
102749;50;219;2145;36;0,95
100063;30;98;228;26;0,87
101505;56;211;2229;18;0,20
101520;43;303;1873;19;0,14
102088;55;154;834;50;0,89
102463;51;207;971;56;0,93
102555;54;218;798;27;0,88
101585;51;251;2227;5;0,08
100994;25;89;229;36;0,80
102638;51;215;1436;46;0,76
102352;52;182;90;39;0,79
102909;53;177;1283;48;0,86
102149;49;156;1295;45;0,87
100170;26;100;110;22;0,85
100169;27;80;214;59;0,66
101751;54;201;1925;21;0,28
100970;29;126;6;44;0,87
100449;32;87;136;38;0,80
101072;23;81;80;21;0,84
100315;23;124;11;39;0,98
102427;54;196;2028;44;0,88
102786;52;243;522;35;0,75
102407;49;150;1227;40;0,81
101033;30;92;88;50;0,95
100731;27;88;140;18;0,95
100599;23;81;140;21;0,82
101237;25;55;254;56;0,80
101458;55;248;2783;15;0,30
102727;50;183;2064;52;0,78
101919;59;227;1892;15;0,39
100708;31;73;94;65;0,75
101388;46;220;2255;15;0,32
101589;54;184;2585;9;0,23
101141;28;58;53;23;0,98
100030;22;83;112;58;0,86
102459;54;173;1610;50;0,86
101025;26;92;45;46;0,99
101632;57;243;1040;6;0,26
102795;51;230;1749;33;0,88
101588;52;162;2520;6;0,17
102575;52;227;1453;31;0,83
102159;54;196;1901;34;0,87
100813;25;82;206;44;0,82
100571;28;60;22;41;0,89
101029;32;81;119;35;0,98
101035;26;112;65;37;0,94
102261;55;163;1340;39;0,63
101126;36;78;156;46;0,87
101816;60;230;2794;7;0,05
100025;27;67;124;58;0,85
100275;29;70;109;41;0,86
101926;53;298;1459;7;0,30
100407;31;84;110;44;0,86
102963;50;231;1610;31;0,82
102582;49;284;1789;20;0,89
101232;27;110;91;49;0,91
102781;51;165;1346;35;0,76
102928;46;271;1195;30;0,80
100741;34;70;113;53;0,68
102382;45;151;1431;37;0,69
102303;50;190;461;41;0,89
100273;26;59;130;32;0,87
101392;53;199;1654;22;0,09
102703;52;238;550;28;0,78
101766;55;249;917;6;0,25
100492;24;106;46;35;0,73
100690;27;84;26;28;0,84
102633;47;246;1597;43;0,72
100738;32;110;204;50;0,78
100301;28;77;37;50;0,94
102599;40;249;2531;33;0,88
100979;29;70;85;46;0,82
101350;59;243;831;11;0,29
100256;23;114;187;63;0,95
100695;21;73;49;49;0,85
101670;54;206;1832;20;0,29
102785;53;218;1785;25;0,86
100902;28;88;260;57;0,84
100365;30;149;96;34;0,92
100592;29;58;159;46;0,99
101346;54;247;2653;6;0,27
100629;35;93;127;38;0,91
102154;50;212;1269;43;0,87
101413;56;311;845;17;0,27
100534;28;135;52;51;0,88
101749;50;185;2634;20;0,31
102215;49;258;1345;45;0,79
102058;47;241;1706;32;0,75
100535;29;53;183;39;0,94
101165;26;75;101;59;0,96
102246;54;227;1506;37;0,79
101733;55;163;2951;24;0,28
101010;31;114;174;57;0,89
102511;49;245;665;42;0,93
100622;26;108;102;71;0,94
101649;65;221;1589;17;0,19
101483;56;245;2155;11;0,07
102374;56;223;1069;57;0,81
100146;27;71;130;53;0,92
101204;27;53;207;23;0,87
101753;51;292;1479;8;0,11
101510;48;294;2732;23;0,31
102634;50;229;2446;47;0,86
100816;29;125;164;52;0,85
102861;47;199;1516;43;0,73
101202;26;81;131;51;0,80
101824;54;245;1142;10;0,26
101108;34;63;104;59;0,88
102609;48;180;1157;24;0,85
102642;52;145;1399;41;0,88
101298;26;121;130;45;0,95
101869;50;276;1125;24;0,39
100252;26;95;137;51;0,80
100362;27;70;113;20;0,95
102038;53;251;2248;55;0,90
101371;53;257;979;18;0,20
102648;39;185;1139;38;0,88
102577;38;227;1006;59;0,94
100447;28;90;50;50;0,92
101247;24;116;198;49;0,82
101845;52;269;1595;17;0,14
100327;31;119;67;57;0,79
102953;51;185;1262;23;0,75
101467;53;139;775;8;0,14
101115;31;89;100;30;0,84
100822;34;103;27;58;0,89
100057;35;85;193;40;0,97
100917;27;84;143;40;0,75
100075;30;114;117;66;0,84
101548;54;188;1346;18;0,39
101730;53;184;1866;6;0,31
102023;50;223;758;50;0,91
101459;60;223;1988;12;0,24
101174;29;83;165;43;0,85
100017;26;116;97;57;0,88
100664;30;87;80;47;0,97
101810;56;270;2191;16;0,30
100471;32;96;152;59;0,77
101333;62;240;2139;21;0,22
102560;52;258;924;45;0,99
102397;48;206;1437;46;0,87
102274;51;193;548;36;0,69
100036;34;52;160;42;0,86
100931;35;80;200;51;0,86
100174;28;106;95;16;0,79
102256;46;236;1628;43;0,72
101190;37;136;150;37;0,87
100346;31;87;58;63;0,88
102227;55;227;749;37;0,87
102762;48;205;1327;34;0,88
100081;21;91;145;61;0,81
100862;28;99;127;41;0,76
100037;30;94;250;35;0,85
100727;26;63;62;82;0,88
102402;46;161;1173;54;0,87
100136;30;106;156;45;0,85
101228;22;118;202;53;0,90
102591;48;204;1548;48;0,85
101803;47;228;1901;10;0,35
100504;33;110;18;36;0,86
102982;45;198;2163;42;0,83
101765;63;230;1948;7;0,35
100620;27;112;193;40;0,89
102504;47;242;1206;41;0,86
100058;32;99;103;55;0,93
102993;45;178;1419;41;0,83
102738;55;217;1438;21;0,83
101605;49;196;2127;9;0,29
102460;53;202;1371;38;0,79
102203;45;237;1685;35;0,89
100093;24;103;220;35;0,67
100844;27;94;102;52;0,75
102488;51;197;1166;37;0,85
102071;50;193;1825;37;0,90
102547;49;233;2083;41;0,83
100713;31;81;41;32;0,80
100952;27;71;57;38;0,81
101103;35;120;283;28;0,89
101964;51;279;1856;8;0,35
100881;22;119;60;34;0,86
102232;52;205;362;35;0,84
102454;46;252;1304;26;0,74
102301;58;217;878;30;0,69
102478;43;191;704;45;0,81
101438;57;243;2009;12;0,22
102255;42;173;1439;34;0,93
102618;50;191;665;32;0,80
100392;28;104;111;31;0,90
102436;54;140;1077;46;0,90
100611;28;109;5;55;0,92
100309;27;65;125;35;0,88
100150;34;104;62;45;0,81
102338;47;219;733;23;0,80
100615;30;77;129;44;0,94
101635;44;258;2742;11;0,40
100390;27;85;5;39;0,81
100444;25;66;250;47;0,81
101369;52;202;2137;7;0,18
