месяц;регион;канал;новые_счета;закрытые_счета;активные_счета_на_конец_месяца;средний_остаток_тыс_руб;расходы_на_продвижение_тыс_руб;ставка_по_счёту_проц;жалобы
2024-08;Северо-Западный;Отделение;389;52;2529;355,7;319;12,03;9
2024-08;Северо-Западный;Сайт банка;192;36;1173;178,7;151;12,03;5
2024-08;Северо-Западный;Партнёрская сеть;138;86;784;101,7;115;12,03;14
2024-08;Южный;Мобильное приложение;340;57;2187;209,5;284;12,03;9
2024-08;Южный;Отделение;295;40;1961;347,0;247;12,03;7
2024-08;Южный;Сайт банка;154;35;909;184,4;117;12,03;7
2024-08;Южный;Партнёрская сеть;111;78;579;99,1;89;12,03;12
2024-08;Уральский;Мобильное приложение;431;82;2531;211,3;325;12,03;13
2024-08;Уральский;Отделение;325;42;2221;329,2;283;12,03;8
2024-08;Уральский;Сайт банка;148;31;1011;183,3;134;12,03;5
2024-08;Уральский;Партнёрская сеть;121;86;679;95,9;102;12,03;13
2024-08;Сибирский;Мобильное приложение;346;53;2332;216,7;302;12,03;8
2024-08;Сибирский;Отделение;303;44;2072;350,8;263;12,03;6
2024-08;Сибирский;Сайт банка;148;31;956;183,7;124;12,03;6
2024-08;Сибирский;Партнёрская сеть;113;78;623;88,2;95;12,03;9
2024-09;Центральный;Мобильное приложение;863;175;5160;209,2;644;12,80;25
2024-09;Центральный;Отделение;614;77;4658;361,1;547;12,80;11
2024-09;Центральный;Сайт банка;322;73;2109;167,8;258;12,80;12
2024-09;Центральный;Партнёрская сеть;273;174;1342;97,8;201;12,80;23
2024-09;Северо-Западный;Мобильное приложение;454;72;3197;204,9;399;12,80;7
2024-09;Северо-Западный;Отделение;387;51;2865;343,3;339;12,80;7
2024-09;Северо-Западный;Сайт банка;182;36;1319;189,4;160;12,80;6
2024-09;Северо-Западный;Партнёрская сеть;138;77;845;103,1;125;12,80;11
2024-09;Южный;Мобильное приложение;354;62;2479;203,4;309;12,80;9
2024-09;Южный;Отделение;303;37;2227;336,1;262;12,80;5
2024-09;Южный;Сайт банка;166;31;1044;176,4;124;12,80;4
2024-09;Южный;Партнёрская сеть;125;87;617;89,9;96;12,80;14
2024-09;Уральский;Мобильное приложение;405;64;2872;197,7;354;12,80;7
2024-09;Уральский;Отделение;394;58;2557;350,3;301;12,80;10
2024-09;Уральский;Сайт банка;160;33;1138;183,5;142;12,80;4
2024-09;Уральский;Партнёрская сеть;123;78;724;89,0;110;12,80;10
2024-09;Сибирский;Мобильное приложение;427;70;2689;218,6;329;12,80;10
2024-09;Сибирский;Отделение;323;40;2355;336,6;279;12,80;8
2024-09;Сибирский;Сайт банка;154;30;1080;182,2;132;12,80;4
2024-09;Сибирский;Партнёрская сеть;131;76;678;92,6;102;12,80;8
2024-10;Центральный;Мобильное приложение;867;150;5877;210,3;669;13,07;21
2024-10;Центральный;Отделение;743;101;5300;321,7;553;13,07;13
2024-10;Центральный;Сайт банка;327;64;2372;178,8;262;13,07;11
2024-10;Центральный;Партнёрская сеть;274;160;1456;92,1;207;13,07;24
2024-10;Северо-Западный;Мобильное приложение;534;86;3645;216,3;415;13,07;12
2024-10;Северо-Западный;Отделение;421;55;3231;317,0;343;13,07;10
2024-10;Северо-Западный;Сайт банка;222;42;1499;170,7;162;13,07;5
2024-10;Северо-Западный;Партнёрская сеть;169;95;919;96,1;129;13,07;13
2024-10;Южный;Мобильное приложение;395;63;2811;224,2;321;13,07;7
2024-10;Южный;Отделение;333;51;2509;322,1;265;13,07;5
2024-10;Южный;Сайт банка;147;30;1161;195,8;126;13,07;5
2024-10;Южный;Партнёрская сеть;124;82;659;90,6;99;13,07;10
2024-10;Уральский;Мобильное приложение;469;90;3251;209,5;368;13,07;14
2024-10;Уральский;Отделение;362;56;2863;361,8;304;13,07;10
2024-10;Уральский;Сайт банка;196;42;1292;193,7;144;13,07;6
2024-10;Уральский;Партнёрская сеть;133;97;760;100,4;114;13,07;13
2024-10;Сибирский;Мобильное приложение;464;76;3077;200,1;341;13,07;12
2024-10;Сибирский;Отделение;375;56;2674;353,1;282;13,07;10
2024-10;Сибирский;Сайт банка;175;38;1217;176,7;133;13,07;5
2024-10;Сибирский;Партнёрская сеть;136;100;714;98,9;106;13,07;14
2024-11;Центральный;Мобильное приложение;913;173;6617;218,8;686;13,65;26
2024-11;Центральный;Отделение;696;85;5911;359,0;552;13,65;11
2024-11;Центральный;Сайт банка;320;76;2616;173,9;262;13,65;11
2024-11;Центральный;Партнёрская сеть;258;174;1540;95,8;211;13,65;21
2024-11;Северо-Западный;Мобильное приложение;498;84;4059;210,1;425;13,65;13
2024-11;Северо-Западный;Отделение;438;52;3617;326,8;342;13,65;9
2024-11;Северо-Западный;Сайт банка;192;39;1652;179,2;162;13,65;6
2024-11;Северо-Западный;Партнёрская сеть;155;106;968;90,2;131;13,65;14
2024-11;Южный;Мобильное приложение;438;81;3168;199,0;329;13,65;13
2024-11;Южный;Отделение;371;45;2835;363,0;265;13,65;6
2024-11;Южный;Сайт банка;170;40;1291;191,3;126;13,65;7
2024-11;Южный;Партнёрская сеть;138;85;712;93,6;101;13,65;10
2024-11;Уральский;Мобильное приложение;471;95;3627;228,8;377;13,65;11
2024-11;Уральский;Отделение;401;59;3205;340,8;304;13,65;10
2024-11;Уральский;Сайт банка;187;35;1444;184,6;144;13,65;4
2024-11;Уральский;Партнёрская сеть;151;108;803;91,9;116;13,65;13
2024-11;Сибирский;Мобильное приложение;467;85;3459;230,3;350;13,65;11
2024-11;Сибирский;Отделение;387;61;3000;335,7;282;13,65;11
2024-11;Сибирский;Сайт банка;184;46;1355;176,2;134;13,65;8
2024-11;Сибирский;Партнёрская сеть;135;82;767;99,7;108;13,65;13
2024-12;Центральный;Мобильное приложение;894;153;7358;217,6;715;13,56;21
2024-12;Центральный;Отделение;730;91;6550;358,9;561;13,56;14
2024-12;Центральный;Сайт банка;372;77;2911;169,6;267;13,56;11
2024-12;Центральный;Партнёрская сеть;289;179;1650;90,9;219;13,56;19
2024-12;Северо-Западный;Мобильное приложение;555;114;4500;197,9;444;13,56;16
2024-12;Северо-Западный;Отделение;486;73;4030;359,1;348;13,56;11
2024-12;Северо-Западный;Сайт банка;191;39;1804;187,1;165;13,56;5
2024-12;Северо-Западный;Партнёрская сеть;168;119;1017;102,1;136;13,56;15
2024-12;Южный;Мобильное приложение;447;75;3540;211,5;343;13,56;11
2024-12;Южный;Отделение;365;56;3144;321,5;269;13,56;7
2024-12;Южный;Сайт банка;155;38;1408;186,9;128;13,56;7
2024-12;Южный;Партнёрская сеть;141;95;758;89,5;105;13,56;14
2024-12;Уральский;Мобильное приложение;544;84;4087;229,6;393;13,56;10
2024-12;Уральский;Отделение;408;58;3555;350,6;308;13,56;7
2024-12;Уральский;Сайт банка;185;41;1588;179,5;147;13,56;5
2024-12;Уральский;Партнёрская сеть;157;93;867;91,2;120;13,56;13
2024-12;Сибирский;Мобильное приложение;429;68;3820;206,3;365;13,56;7
2024-12;Сибирский;Отделение;331;41;3290;331,2;286;13,56;7
2024-12;Сибирский;Сайт банка;179;39;1495;169,8;136;13,56;6
2024-12;Сибирский;Партнёрская сеть;135;103;799;98,4;112;13,56;16
2025-01;Центральный;Мобильное приложение;888;136;8110;217,7;680;13,73;15
2025-01;Центральный;Отделение;667;105;7112;339,9;519;13,73;15
2025-01;Центральный;Сайт банка;318;62;3167;195,6;247;13,73;8
2025-01;Центральный;Партнёрская сеть;264;182;1732;91,5;207;13,73;29
2025-01;Северо-Западный;Мобильное приложение;618;127;4991;220,7;421;13,73;19
2025-01;Северо-Западный;Отделение;390;52;4368;357,0;322;13,73;9
2025-01;Северо-Западный;Сайт банка;200;38;1966;190,9;153;13,73;5
2025-01;Северо-Западный;Партнёрская сеть;185;144;1058;99,3;128;13,73;21
2025-01;Южный;Мобильное приложение;454;70;3924;219,7;326;13,73;7
2025-01;Южный;Отделение;365;56;3453;369,1;249;13,73;11
2025-01;Южный;Сайт банка;152;28;1532;199,1;119;13,73;4
2025-01;Южный;Партнёрская сеть;134;99;793;95,2;99;13,73;12
2025-01;Уральский;Мобильное приложение;514;93;4508;227,4;374;13,73;12
2025-01;Уральский;Отделение;365;48;3872;367,4;285;13,73;6
2025-01;Уральский;Сайт банка;184;46;1726;196,5;136;13,73;6
2025-01;Уральский;Партнёрская сеть;143;101;909;101,1;114;13,73;13
2025-01;Сибирский;Мобильное приложение;461;76;4205;204,1;347;13,73;8
2025-01;Сибирский;Отделение;340;44;3586;334,9;265;13,73;7
2025-01;Сибирский;Сайт банка;178;41;1632;176,1;126;13,73;7
2025-01;Сибирский;Партнёрская сеть;151;103;847;98,2;106;13,73;17
2025-02;Центральный;Мобильное приложение;890;157;8843;218,2;625;13,52;24
2025-02;Центральный;Отделение;708;84;7736;376,0;464;13,52;12
2025-02;Центральный;Сайт банка;330;63;3434;187,6;222;13,52;10
2025-02;Центральный;Партнёрская сеть;274;212;1794;97,6;189;13,52;24
2025-02;Северо-Западный;Мобильное приложение;519;104;5406;233,0;387;13,52;13
2025-02;Северо-Западный;Отделение;391;47;4712;367,0;288;13,52;5
2025-02;Северо-Западный;Сайт банка;188;45;2109;194,4;138;13,52;4
2025-02;Северо-Западный;Партнёрская сеть;171;111;1118;94,2;117;13,52;18
2025-02;Южный;Мобильное приложение;440;76;4288;203,0;300;13,52;12
2025-02;Южный;Отделение;321;49;3725;357,9;223;13,52;7
2025-02;Южный;Сайт банка;148;29;1651;179,9;106;13,52;4
2025-02;Южный;Партнёрская сеть;127;334;586;100,3;91;13,52;41
2025-02;Уральский;Мобильное приложение;503;84;4927;222,0;344;13,52;14
2025-02;Уральский;Отделение;366;53;4185;323,5;255;13,52;7
2025-02;Уральский;Сайт банка;180;34;1872;184,6;122;13,52;6
2025-02;Уральский;Партнёрская сеть;133;92;950;102,0;104;13,52;11
2025-02;Сибирский;Мобильное приложение;448;82;4571;212,8;319;13,52;11
2025-02;Сибирский;Отделение;356;43;3899;350,8;237;13,52;6
2025-02;Сибирский;Сайт банка;168;36;1764;191,1;113;13,52;6
2025-02;Сибирский;Партнёрская сеть;140;84;903;100,5;96;13,52;12
2025-03;Центральный;Мобильное приложение;858;156;9545;200,8;538;13,11;16
2025-03;Центральный;Отделение;580;71;8245;363,9;389;13,11;11
2025-03;Центральный;Сайт банка;282;69;3647;175,4;186;13,11;10
2025-03;Центральный;Партнёрская сеть;241;153;1882;93,0;162;13,11;22
2025-03;Северо-Западный;Мобильное приложение;514;90;5830;222,9;334;13,11;12
2025-03;Северо-Западный;Отделение;345;53;5004;365,1;241;13,11;8
2025-03;Северо-Западный;Сайт банка;178;36;2251;174,8;116;13,11;6
2025-03;Северо-Западный;Партнёрская сеть;141;86;1173;93,8;100;13,11;14
2025-03;Южный;Мобильное приложение;344;53;4579;224,0;258;13,11;10
2025-03;Южный;Отделение;288;42;3971;326,1;187;13,11;8
2025-03;Южный;Сайт банка;137;26;1762;176,4;89;13,11;4
2025-03;Южный;Партнёрская сеть;105;79;612;105,3;78;13,11;12
2025-03;Уральский;Мобильное приложение;471;83;5315;202,8;296;13,11;11
2025-03;Уральский;Отделение;331;41;4475;367,5;214;13,11;7
2025-03;Уральский;Сайт банка;152;36;1988;193,2;102;13,11;5
2025-03;Уральский;Партнёрская сеть;132;106;976;94,6;89;13,11;14
2025-03;Сибирский;Мобильное приложение;414;79;4906;214,8;274;13,11;9
2025-03;Сибирский;Отделение;292;37;4154;344,3;199;13,11;6
2025-03;Сибирский;Сайт банка;149;30;1883;178,5;95;13,11;4
2025-03;Сибирский;Партнёрская сеть;121;98;926;104,2;83;13,11;14
2025-04;Центральный;Мобильное приложение;760;155;10150;232,8;547;12,64;18
2025-04;Центральный;Отделение;594;87;8752;344,1;386;12,64;12
2025-04;Центральный;Сайт банка;249;51;3845;177,4;185;12,64;9
2025-04;Центральный;Партнёрская сеть;251;177;1956;97,6;164;12,64;23
2025-04;Северо-Западный;Мобильное приложение;463;73;6220;212,3;339;12,64;12
2025-04;Северо-Западный;Отделение;344;53;5295;359,9;239;12,64;7
2025-04;Северо-Западный;Сайт банка;179;42;2388;178,4;115;12,64;6
2025-04;Северо-Западный;Партнёрская сеть;142;117;1198;90,8;102;12,64;18
2025-04;Южный;Мобильное приложение;367;71;4875;216,7;263;12,64;10
2025-04;Южный;Отделение;283;44;4210;375,5;185;12,64;7
2025-04;Южный;Сайт банка;138;35;1865;196,5;89;12,64;5
2025-04;Южный;Партнёрская сеть;105;84;633;103,5;79;12,64;12
2025-04;Уральский;Мобильное приложение;471;82;5704;208,4;301;12,64;14
2025-04;Уральский;Отделение;333;52;4756;381,3;212;12,64;9
2025-04;Уральский;Сайт банка;154;36;2106;187,0;102;12,64;6
2025-04;Уральский;Партнёрская сеть;123;96;1003;92,1;90;12,64;12
2025-04;Сибирский;Мобильное приложение;382;73;5215;231,6;279;12,64;10
2025-04;Сибирский;Отделение;303;47;4410;334,3;197;12,64;6
2025-04;Сибирский;Сайт банка;133;25;1991;184,0;94;12,64;4
2025-04;Сибирский;Партнёрская сеть;115;85;956;92,2;84;12,64;13
2025-05;Центральный;Мобильное приложение;784;130;10804;211,6;515;11,92;16
2025-05;Центральный;Отделение;529;81;9200;348,2;353;11,92;11
2025-05;Центральный;Сайт банка;261;55;4051;178,1;170;11,92;8
2025-05;Центральный;Партнёрская сеть;231;180;2007;96,8;153;11,92;21
2025-05;Северо-Западный;Мобильное приложение;428;75;6573;205,6;319;11,92;10
2025-05;Северо-Западный;Отделение;344;52;5587;368,6;219;11,92;6
2025-05;Северо-Западный;Сайт банка;145;31;2502;189,8;105;11,92;6
2025-05;Северо-Западный;Партнёрская сеть;151;96;1253;97,8;95;11,92;15
2025-05;Южный;Мобильное приложение;366;60;5181;233,4;247;11,92;6
2025-05;Южный;Отделение;259;33;4436;357,0;169;11,92;7
2025-05;Южный;Сайт банка;115;28;1952;200,6;81;11,92;6
2025-05;Южный;Партнёрская сеть;113;94;652;100,1;74;11,92;15
2025-05;Уральский;Мобильное приложение;376;76;6004;223,3;283;11,92;13
2025-05;Уральский;Отделение;264;33;4987;364,3;194;11,92;6
2025-05;Уральский;Сайт банка;149;30;2225;190,8;93;11,92;4
2025-05;Уральский;Партнёрская сеть;115;81;1037;96,9;84;11,92;12
2025-05;Сибирский;Мобильное приложение;406;80;5541;206,5;262;11,92;11
2025-05;Сибирский;Отделение;241;33;4618;340,4;180;11,92;5
2025-05;Сибирский;Сайт банка;116;28;2079;202,2;87;11,92;4
2025-05;Сибирский;Партнёрская сеть;124;84;996;94,0;78;11,92;15
2025-06;Центральный;Мобильное приложение;798;144;11458;217,4;567;11,32;19
2025-06;Центральный;Отделение;492;67;9625;349,5;379;11,32;12
2025-06;Центральный;Сайт банка;274;58;4267;183,1;183;11,32;11
2025-06;Центральный;Партнёрская сеть;250;201;2056;97,8;168;11,32;23
2025-06;Северо-Западный;Мобильное приложение;513;105;6981;219,5;352;11,32;14
2025-06;Северо-Западный;Отделение;324;50;5861;370,3;235;11,32;9
2025-06;Северо-Западный;Сайт банка;167;42;2627;201,7;113;11,32;8
2025-06;Северо-Западный;Партнёрская сеть;156;131;1278;98,6;104;11,32;16
2025-06;Южный;Мобильное приложение;405;71;5515;209,3;272;11,32;9
2025-06;Южный;Отделение;271;36;4671;330,6;182;11,32;5
2025-06;Южный;Сайт банка;122;29;2045;179,3;88;11,32;4
2025-06;Южный;Партнёрская сеть;109;94;667;101,5;81;11,32;12
2025-06;Уральский;Мобильное приложение;447;85;6366;204,1;312;11,32;12
2025-06;Уральский;Отделение;311;45;5253;329,4;208;11,32;6
2025-06;Уральский;Сайт банка;133;32;2326;175,3;100;11,32;7
2025-06;Уральский;Партнёрская сеть;131;102;1066;100,7;92;11,32;15
2025-06;Сибирский;Мобильное приложение;357;71;5827;212,9;289;11,32;12
2025-06;Сибирский;Отделение;286;37;4867;344,8;193;11,32;5
2025-06;Сибирский;Сайт банка;133;32;2180;189,4;93;11,32;4
2025-06;Сибирский;Партнёрская сеть;111;75;1032;103,3;86;11,32;11
2025-07;Центральный;Мобильное приложение;832;172;12118;238,3;621;10,57;23
2025-07;Центральный;Отделение;525;65;10085;348,9;404;10,57;11
2025-07;Центральный;Сайт банка;235;54;4448;186,0;195;10,57;9
2025-07;Центральный;Партнёрская сеть;220;167;2109;96,1;183;10,57;24
2025-07;Северо-Западный;Мобильное приложение;460;72;7369;215,3;385;10,57;9
2025-07;Северо-Западный;Отделение;322;45;6138;367,4;250;10,57;6
2025-07;Северо-Западный;Сайт банка;165;41;2751;179,5;121;10,57;7
2025-07;Северо-Западный;Партнёрская сеть;144;121;1301;107,7;113;10,57;18
2025-07;Южный;Мобильное приложение;374;66;5823;203,4;298;10,57;10
2025-07;Южный;Отделение;257;38;4890;380,9;194;10,57;5
2025-07;Южный;Сайт банка;128;31;2142;189,7;94;10,57;5
2025-07;Южный;Партнёрская сеть;117;90;694;98,1;88;10,57;14
2025-07;Уральский;Мобильное приложение;429;67;6728;213,0;341;10,57;12
2025-07;Уральский;Отделение;295;36;5512;341,9;222;10,57;7
2025-07;Уральский;Сайт банка;144;29;2441;198,4;107;10,57;5
2025-07;Уральский;Партнёрская сеть;129;113;1082;96,8;101;10,57;15
2025-07;Сибирский;Мобильное приложение;382;62;6147;208,3;317;10,57;8
2025-07;Сибирский;Отделение;278;37;5108;370,2;206;10,57;7
2025-07;Сибирский;Сайт банка;128;30;2278;188,5;99;10,57;6
2025-07;Сибирский;Партнёрская сеть;122;94;1060;107,3;93;10,57;14
2025-08;Центральный;Мобильное приложение;845;153;12810;213,1;766;9,99;21
2025-08;Центральный;Отделение;521;71;10535;353,8;485;9,99;9
2025-08;Центральный;Сайт банка;289;70;4667;198,0;235;9,99;12
2025-08;Центральный;Партнёрская сеть;275;234;2150;104,6;225;9,99;38
2025-08;Северо-Западный;Мобильное приложение;506;78;7797;236,3;475;9,99;9
2025-08;Северо-Западный;Отделение;349;55;6432;358,0;301;9,99;7
2025-08;Северо-Западный;Сайт банка;159;37;2873;200,4;146;9,99;7
2025-08;Северо-Западный;Партнёрская сеть;147;114;1334;104,7;139;9,99;17
2025-08;Южный;Мобильное приложение;395;71;6147;231,9;368;9,99;10
2025-08;Южный;Отделение;288;43;5135;334,6;233;9,99;6
2025-08;Южный;Сайт банка;125;30;2237;188,4;113;9,99;6
2025-08;Южный;Партнёрская сеть;137;99;732;102,6;108;9,99;18
2025-08;Уральский;Мобильное приложение;486;90;7124;238,3;421;9,99;15
2025-08;Уральский;Отделение;283;34;5761;381,7;267;9,99;4
2025-08;Уральский;Сайт банка;145;28;2558;177,9;129;9,99;4
2025-08;Уральский;Партнёрская сеть;134;99;1117;102,4;124;9,99;12
2025-08;Сибирский;Мобильное приложение;456;83;6520;209,6;391;9,99;9
2025-08;Сибирский;Отделение;280;34;5354;376,7;247;9,99;5
2025-08;Сибирский;Сайт банка;135;26;2387;198,4;120;9,99;6
2025-08;Сибирский;Партнёрская сеть;125;99;1086;107,1;115;9,99;15
2025-09;Центральный;Мобильное приложение;985;156;13639;235,1;813;9,81;17
2025-09;Центральный;Отделение;546;78;11003;337,5;501;9,81;11
2025-09;Центральный;Сайт банка;265;56;4876;176,8;244;9,81;6
2025-09;Центральный;Партнёрская сеть;263;193;2220;99,8;237;9,81;26
2025-09;Северо-Западный;Мобильное приложение;526;91;8232;227,4;504;9,81;14
2025-09;Северо-Западный;Отделение;335;46;6721;368,7;311;9,81;8
2025-09;Северо-Западный;Сайт банка;173;43;3003;190,4;151;9,81;6
2025-09;Северо-Западный;Партнёрская сеть;182;137;1379;93,5;147;9,81;18
2025-09;Южный;Мобильное приложение;433;88;6492;210,3;390;9,81;13
2025-09;Южный;Отделение;261;32;5364;334,6;241;9,81;6
2025-09;Южный;Сайт банка;139;27;2349;205,3;117;9,81;3
2025-09;Южный;Партнёрская сеть;136;102;766;97,1;114;9,81;16
2025-09;Уральский;Мобильное приложение;544;103;7565;212,2;447;9,81;11
2025-09;Уральский;Отделение;287;42;6006;365,7;276;9,81;7
2025-09;Уральский;Сайт банка;161;108;2611;184,4;134;9,81;13
2025-09;Уральский;Партнёрская сеть;151;134;1134;108,8;131;9,81;17
2025-09;Сибирский;Мобильное приложение;431;67;6884;226,9;415;9,81;12
2025-09;Сибирский;Отделение;269;34;5589;365,9;256;9,81;6
2025-09;Сибирский;Сайт банка;148;31;2504;185,2;124;9,81;4
2025-09;Сибирский;Партнёрская сеть;150;131;1105;96,9;121;9,81;18
2025-10;Центральный;Мобильное приложение;1010;174;14475;207,4;911;9,40;22
2025-10;Центральный;Отделение;594;90;11507;382,3;546;9,40;13
2025-10;Центральный;Сайт банка;269;66;5079;180,8;266;9,40;8
2025-10;Центральный;Партнёрская сеть;276;194;2302;94,2;264;9,40;23
2025-10;Северо-Западный;Мобильное приложение;633;97;8768;224,9;565;9,40;15
2025-10;Северо-Западный;Отделение;369;59;7031;370,6;339;9,40;9
2025-10;Северо-Западный;Сайт банка;193;45;3151;195,7;165;9,40;7
2025-10;Северо-Западный;Партнёрская сеть;183;151;1411;98,3;164;9,40;19
2025-10;Южный;Мобильное приложение;495;79;6908;223,7;437;9,40;8
2025-10;Южный;Отделение;282;44;5602;370,7;262;9,40;5
2025-10;Южный;Сайт банка;136;27;2458;193,1;128;9,40;2
2025-10;Южный;Партнёрская сеть;129;103;792;95,6;127;9,40;13
2025-10;Уральский;Мобильное приложение;520;95;7990;232,7;501;9,40;14
2025-10;Уральский;Отделение;355;50;6311;368,0;300;9,40;8
2025-10;Уральский;Сайт банка;164;37;2738;183,8;146;9,40;5
2025-10;Уральский;Партнёрская сеть;154;133;1155;102,4;145;9,40;17
2025-10;Сибирский;Мобильное приложение;539;89;7334;221,9;464;9,40;12
2025-10;Сибирский;Отделение;296;39;5846;373,3;278;9,40;7
2025-10;Сибирский;Сайт банка;137;29;2612;193,4;136;9,40;4
2025-10;Сибирский;Партнёрская сеть;137;110;1132;98,9;135;9,40;17
2025-11;Центральный;Мобильное приложение;1127;196;15406;232,9;1057;9,31;23
2025-11;Центральный;Отделение;632;78;12061;372,5;617;9,31;11
2025-11;Центральный;Сайт банка;295;69;5305;195,7;301;9,31;9
2025-11;Центральный;Партнёрская сеть;296;261;2337;95,5;305;9,31;28
2025-11;Северо-Западный;Мобильное приложение;675;128;9315;216,1;655;9,31;20
2025-11;Северо-Западный;Отделение;402;61;7372;356,4;382;9,31;11
2025-11;Северо-Западный;Сайт банка;185;43;3293;182,6;187;9,31;8
2025-11;Северо-Западный;Партнёрская сеть;187;150;1448;105,1;189;9,31;17
2025-11;Южный;Мобильное приложение;501;82;7327;218,4;507;9,31;11
2025-11;Южный;Отделение;344;52;5894;338,3;296;9,31;7
2025-11;Южный;Сайт банка;161;31;2588;191,7;145;9,31;4
2025-11;Южный;Партнёрская сеть;142;107;827;107,7;147;9,31;15
2025-11;Уральский;Мобильное приложение;674;120;8544;212,5;581;9,31;17
2025-11;Уральский;Отделение;380;53;6638;387,7;339;9,31;6
2025-11;Уральский;Сайт банка;172;40;2870;201,1;166;9,31;7
2025-11;Уральский;Партнёрская сеть;165;130;1190;104,1;168;9,31;20
2025-11;Сибирский;Мобильное приложение;598;97;7835;222,9;539;9,31;17
2025-11;Сибирский;Отделение;331;48;6129;340,8;315;9,31;7
2025-11;Сибирский;Сайт банка;159;30;2741;189,3;154;9,31;6
2025-11;Сибирский;Партнёрская сеть;180;146;1166;100,3;156;9,31;17
2025-12;Центральный;Мобильное приложение;1055;172;16289;214,5;1024;9,47;22
2025-12;Центральный;Отделение;625;78;12608;378,5;581;9,47;12
2025-12;Центральный;Сайт банка;307;66;5546;204,2;285;9,47;8
2025-12;Центральный;Партнёрская сеть;329;304;2362;96,6;294;9,47;48
2025-12;Северо-Западный;Мобильное приложение;708;138;9885;213,3;635;9,47;20
2025-12;Северо-Западный;Отделение;372;58;7686;390,4;360;9,47;11
2025-12;Северо-Западный;Сайт банка;185;40;3438;179,0;177;9,47;7
2025-12;Северо-Западный;Партнёрская сеть;208;162;1494;108,7;183;9,47;23
2025-12;Южный;Мобильное приложение;586;104;7809;220,0;491;9,47;14
2025-12;Южный;Отделение;320;45;6169;381,5;279;9,47;7
2025-12;Южный;Сайт банка;150;29;2709;179,6;137;9,47;5
2025-12;Южный;Партнёрская сеть;156;136;847;101,5;141;9,47;15
2025-12;Уральский;Мобильное приложение;602;95;9051;222,2;563;9,47;15
2025-12;Уральский;Отделение;346;51;6933;355,4;320;9,47;10
2025-12;Уральский;Сайт банка;183;44;3009;182,2;157;9,47;9
2025-12;Уральский;Партнёрская сеть;171;150;1211;98,6;162;9,47;24
2025-12;Сибирский;Мобильное приложение;573;102;8306;215,4;522;9,47;14
2025-12;Сибирский;Отделение;291;45;6375;344,4;296;9,47;6
2025-12;Сибирский;Сайт банка;167;35;2873;199,3;145;9,47;5
2025-12;Сибирский;Партнёрская сеть;157;145;1178;99,0;150;9,47;20
2026-01;Центральный;Мобильное приложение;1087;197;17179;210,3;1015;9,60;20
2026-01;Центральный;Отделение;669;80;13197;391,6;560;9,60;10
2026-01;Центральный;Сайт банка;306;60;5792;187,9;276;9,60;9
2026-01;Центральный;Партнёрская сеть;331;280;2413;109,8;290;9,60;41
2026-01;Северо-Западный;Мобильное приложение;633;128;10390;242,5;629;9,60;19
2026-01;Северо-Западный;Отделение;403;49;8040;380,3;347;9,60;7
2026-01;Северо-Западный;Сайт банка;198;38;3598;203,2;171;9,60;5
2026-01;Северо-Западный;Партнёрская сеть;202;190;1506;94,7;180;9,60;22
2026-01;Южный;Мобильное приложение;574;115;8268;213,3;487;9,60;14
2026-01;Южный;Отделение;272;37;6404;386,2;269;9,60;4
2026-01;Южный;Сайт банка;158;37;2830;184,9;132;9,60;6
