дата;объём_операций_млн_руб;число_операций
2023-12-21;155,0;3716
2023-12-22;143,1;3442
2023-12-23;77,4;1825
2023-12-24;48,4;1157
2023-12-25;153,7;3598
2023-12-26;155,7;3746
2023-12-27;150,4;3512
2023-12-28;151,8;3617
2023-12-29;180,4;4208
2023-12-30;96,1;2271
2023-12-31;61,3;1451
2024-01-01;89,8;2133
2024-01-02;102,0;2481
2024-01-03;102,7;2458
2024-01-04;99,5;2390
2024-01-05;101,6;2463
2024-01-06;49,8;1182
2024-01-07;34,9;818
2024-01-08;104,8;2491
2024-01-09;108,8;2604
2024-01-10;98,8;2415
2024-01-11;106,7;2614
2024-01-12;98,0;2329
2024-01-13;49,8;1171
2024-01-14;32,1;741
2024-01-15;98,7;2395
2024-01-16;111,2;2666
2024-01-17;106,6;2513
2024-01-18;101,2;2373
2024-01-19;101,1;2385
2024-01-20;51,6;1246
2024-01-21;32,9;766
2024-01-22;106,1;2582
2024-01-23;106,3;2564
2024-01-24;105,9;2537
2024-01-25;104,0;2481
2024-01-26;98,6;2409
2024-01-27;51,1;1223
2024-01-28;33,8;794
2024-01-29;127,9;3081
2024-01-30;132,6;3174
2024-01-31;128,8;3074
2024-02-01;103,3;2456
2024-02-02;98,5;2365
2024-02-03;56,7;1311
2024-02-04;36,9;893
2024-02-05;118,3;2865
2024-02-06;117,9;2750
2024-02-07;115,8;2692
2024-02-08;112,0;2614
2024-02-09;109,2;2665
2024-02-10;56,5;1333
2024-02-11;37,6;874
2024-02-12;120,4;2792
2024-02-13;123,5;2995
2024-02-14;114,4;2691
2024-02-15;114,7;2706
2024-02-16;110,3;2657
2024-02-17;55,1;1319
2024-02-18;36,4;862
2024-02-19;117,0;2830
2024-02-20;122,6;2893
2024-02-21;112,3;2738
2024-02-22;111,0;2657
2024-02-23;110,9;2620
2024-02-24;58,0;1404
2024-02-25;36,2;839
2024-02-26;122,8;2873
2024-02-27;147,2;3546
2024-02-28;130,6;3018
2024-02-29;137,2;3188
2024-03-01;106,5;2477
2024-03-02;56,9;1346
2024-03-03;40,6;980
2024-03-04;129,4;3138
2024-03-05;135,7;3321
2024-03-06;128,7;3082
2024-03-07;127,7;3002
2024-03-08;126,5;3029
2024-03-09;63,1;1489
2024-03-10;40,7;980
2024-03-11;130,9;3181
2024-03-12;130,8;3056
2024-03-13;127,0;3075
2024-03-14;130,9;3155
2024-03-15;127,3;3042
2024-03-16;62,8;1459
2024-03-17;39,8;947
2024-03-18;122,5;2895
2024-03-19;140,4;3297
2024-03-20;126,5;3048
2024-03-21;131,1;3057
2024-03-22;126,9;2939
2024-03-23;61,8;1477
2024-03-24;41,7;965
2024-03-25;123,6;2864
2024-03-26;141,2;3449
2024-03-27;125,9;2965
2024-03-28;124,9;2914
2024-03-29;153,7;3614
2024-03-30;83,3;1926
2024-03-31;51,0;1194
2024-04-01;119,5;2859
2024-04-02;120,9;2910
2024-04-03;129,9;3021
2024-04-04;125,4;2978
2024-04-05;121,4;2922
2024-04-06;67,1;1609
2024-04-07;42,0;995
2024-04-08;126,5;3067
2024-04-09;140,4;3269
2024-04-10;137,6;3343
2024-04-11;129,9;3086
2024-04-12;120,0;2874
2024-04-13;64,5;1563
2024-04-14;41,5;976
2024-04-15;134,6;3148
2024-04-16;136,1;3202
2024-04-17;131,8;3089
2024-04-18;138,5;3332
2024-04-19;126,3;3020
2024-04-20;66,6;1590
2024-04-21;43,1;1002
2024-04-22;131,1;3146
2024-04-23;140,6;3259
2024-04-24;134,0;3102
2024-04-25;120,0;2938
2024-04-26;130,9;3135
2024-04-27;64,7;1519
2024-04-28;52,1;1235
2024-04-29;170,6;4145
2024-04-30;175,2;4100
2024-05-01;108,7;2541
2024-05-02;112,7;2638
2024-05-03;115,2;2748
2024-05-04;61,1;1414
2024-05-05;39,9;949
2024-05-06;120,3;2865
2024-05-07;128,4;3051
2024-05-08;123,7;2967
2024-05-09;121,3;2971
2024-05-10;119,9;2911
2024-05-11;58,9;1375
2024-05-12;41,3;979
2024-05-13;123,5;2970
2024-05-14;130,7;3187
2024-05-15;121,5;2857
2024-05-16;125,0;3056
2024-05-17;119,5;2897
2024-05-18;63,0;1536
2024-05-19;39,6;922
2024-05-20;122,1;2821
2024-05-21;126,2;2952
2024-05-22;116,9;2719
2024-05-23;126,7;2976
2024-05-24;123,6;2857
2024-05-25;59,5;1438
2024-05-26;39,5;926
2024-05-27;125,6;3042
2024-05-28;128,4;3037
2024-05-29;155,8;3619
2024-05-30;155,8;3618
2024-05-31;148,5;3438
2024-06-01;61,2;1447
2024-06-02;41,4;979
2024-06-03;142,0;3410
2024-06-04;146,0;3531
2024-06-05;146,4;3398
2024-06-06;147,9;3535
2024-06-07;146,8;3517
2024-06-08;75,2;1810
2024-06-09;48,1;1172
2024-06-10;145,4;3462
2024-06-11;153,1;3695
2024-06-12;144,5;3373
2024-06-13;150,4;3508
2024-06-14;137,8;3191
2024-06-15;75,4;1848
2024-06-16;44,7;1070
2024-06-17;145,2;3539
2024-06-18;148,4;3586
2024-06-19;151,7;3534
2024-06-20;141,1;3269
2024-06-21;139,0;3318
2024-06-22;71,3;1676
2024-06-23;46,1;1103
2024-06-24;140,5;3413
2024-06-25;150,6;3484
2024-06-26;147,8;3586
2024-06-27;144,1;3512
2024-06-28;163,1;3989
2024-06-29;93,4;2241
2024-06-30;60,0;1441
2024-07-01;123,8;2950
2024-07-02;124,0;2927
2024-07-03;142,5;3333
2024-07-04;140,6;3381
2024-07-05;130,1;3043
2024-07-06;70,4;1677
2024-07-07;44,9;1079
2024-07-08;134,4;3195
2024-07-09;145,5;3469
2024-07-10;137,8;3219
2024-07-11;134,4;3140
2024-07-12;134,5;3176
2024-07-13;66,9;1633
2024-07-14;46,0;1072
2024-07-15;148,7;3616
2024-07-16;142,2;3344
2024-07-17;133,7;3215
2024-07-18;136,4;3310
2024-07-19;126,4;3011
2024-07-20;71,2;1657
2024-07-21;43,0;1003
2024-07-22;148,8;3621
2024-07-23;140,5;3378
2024-07-24;131,2;3123
2024-07-25;140,3;3305
2024-07-26;127,3;3020
2024-07-27;68,6;1665
2024-07-28;43,3;1028
2024-07-29;173,1;4032
2024-07-30;177,9;4240
2024-07-31;188,2;4447
2024-08-01;119,4;2826
2024-08-02;107,7;2628
2024-08-03;66,8;1582
2024-08-04;41,6;1010
2024-08-05;129,6;3164
2024-08-06;139,6;3299
2024-08-07;128,4;2992
2024-08-08;128,5;2988
2024-08-09;128,5;3096
2024-08-10;67,5;1621
2024-08-11;41,0;949
2024-08-12;134,7;3168
2024-08-13;137,2;3314
2024-08-14;136,5;3327
2024-08-15;127,4;3026
2024-08-16;124,8;3002
2024-08-17;66,8;1573
2024-08-18;41,9;1025
2024-08-19;135,2;3145
2024-08-20;135,9;3267
2024-08-21;127,2;3067
2024-08-22;126,6;3000
2024-08-23;128,1;3050
2024-08-24;63,4;1463
2024-08-25;44,2;1072
2024-08-26;134,6;3140
2024-08-27;133,3;3146
2024-08-28;129,2;3162
2024-08-29;161,6;3791
2024-08-30;156,2;3686
2024-08-31;81,3;1975
2024-09-01;37,5;888
2024-09-02;119,3;2757
2024-09-03;149,9;3464
2024-09-04;140,3;3356
2024-09-05;127,9;3117
2024-09-06;125,5;2986
2024-09-07;64,9;1566
2024-09-08;42,9;1017
2024-09-09;136,3;3314
2024-09-10;145,2;3413
2024-09-11;142,0;3368
2024-09-12;137,6;3190
2024-09-13;130,2;3048
2024-09-14;67,6;1598
2024-09-15;42,3;992
2024-09-16;128,9;3031
2024-09-17;149,6;3661
2024-09-18;138,0;3285
2024-09-19;138,8;3282
2024-09-20;131,5;3088
2024-09-21;68,1;1587
2024-09-22;44,5;1076
2024-09-23;136,0;3207
2024-09-24;143,4;3418
2024-09-25;133,5;3205
2024-09-26;139,8;3380
2024-09-27;130,6;3197
2024-09-28;87,8;2044
2024-09-29;53,7;1264
2024-09-30;170,5;3990
2024-10-01;122,4;2858
2024-10-02;123,9;2959
2024-10-03;135,8;3165
2024-10-04;134,4;3167
2024-10-05;67,0;1589
2024-10-06;42,9;999
2024-10-07;132,7;3180
2024-10-08;144,0;3519
2024-10-09;147,3;3483
2024-10-10;133,5;3127
2024-10-11;119,0;2865
2024-10-12;68,4;1614
2024-10-13;39,1;950
2024-10-14;126,0;3005
2024-10-15;131,1;3046
2024-10-16;130,0;3109
2024-10-17;136,7;3345
2024-10-18;128,7;3011
2024-10-19;64,5;1550
2024-10-20;39,3;921
2024-10-21;127,7;3029
2024-10-22;132,6;3199
2024-10-23;139,7;3278
2024-10-24;130,6;3049
2024-10-25;129,5;3131
2024-10-26;65,0;1522
2024-10-27;40,0;955
2024-10-28;134,2;3266
2024-10-29;174,8;4188
2024-10-30;162,7;3975
2024-10-31;160,9;3838
2024-11-01;112,2;2734
2024-11-02;59,0;1417
2024-11-03;42,4;1027
2024-11-04;135,3;3231
2024-11-05;140,8;3409
2024-11-06;132,8;3239
2024-11-07;140,1;3256
2024-11-08;129,8;3111
2024-11-09;65,9;1544
2024-11-10;42,4;1037
2024-11-11;137,9;3216
2024-11-12;139,9;3284
2024-11-13;135,5;3281
2024-11-14;141,2;3449
2024-11-15;123,3;3022
2024-11-16;67,2;1581
2024-11-17;42,0;977
2024-11-18;140,7;3285
2024-11-19;138,4;3387
2024-11-20;132,5;3149
2024-11-21;125,2;3037
2024-11-22;123,9;2884
2024-11-23;65,7;1553
2024-11-24;40,7;977
2024-11-25;138,0;3345
2024-11-26;140,0;3344
2024-11-27;131,4;3089
2024-11-28;158,9;3733
2024-11-29;155,7;3723
2024-11-30;84,9;2067
2024-12-01;44,2;1021
2024-12-02;142,6;3461
2024-12-03;173,7;4156
2024-12-04;146,8;3487
2024-12-05;157,0;3800
2024-12-06;144,3;3523
2024-12-07;77,6;1861
2024-12-08;48,1;1137
2024-12-09;156,7;3665
2024-12-10;158,7;3850
2024-12-11;159,6;3877
2024-12-12;153,5;3604
2024-12-13;160,2;3799
2024-12-14;77,8;1831
2024-12-15;52,1;1232
2024-12-16;162,9;3948
2024-12-17;160,6;3744
2024-12-18;152,4;3691
2024-12-19;153,4;3656
2024-12-20;142,7;3402
2024-12-21;78,8;1844
2024-12-22;50,6;1229
2024-12-23;160,0;3738
2024-12-24;163,2;3953
2024-12-25;157,0;3626
2024-12-26;152,7;3608
2024-12-27;138,8;3334
2024-12-28;77,7;1829
2024-12-29;63,9;1558
2024-12-30;191,3;4566
2024-12-31;211,5;4885
2025-01-01;106,2;2604
2025-01-02;99,1;2314
2025-01-03;108,1;2497
2025-01-04;55,3;1286
2025-01-05;35,8;859
2025-01-06;114,7;2658
2025-01-07;114,8;2700
2025-01-08;109,7;2561
2025-01-09;110,1;2543
2025-01-10;100,7;2350
2025-01-11;60,0;1447
2025-01-12;34,4;831
2025-01-13;111,5;2641
2025-01-14;119,5;2843
2025-01-15;113,9;2735
2025-01-16;113,0;2766
2025-01-17;107,4;2533
2025-01-18;53,4;1306
2025-01-19;35,8;874
2025-01-20;115,5;2768
2025-01-21;126,6;2991
2025-01-22;105,2;2433
2025-01-23;110,6;2636
2025-01-24;107,7;2603
2025-01-25;57,9;1398
2025-01-26;36,2;885
2025-01-27;115,3;2755
2025-01-28;115,4;2790
2025-01-29;145,1;3552
2025-01-30;139,3;3352
2025-01-31;138,8;3279
2025-02-01;55,6;1342
2025-02-02;35,8;834
2025-02-03;129,4;2988
2025-02-04;130,0;3010
2025-02-05;129,7;3050
2025-02-06;128,1;3139
2025-02-07;117,4;2752
2025-02-08;68,1;1648
2025-02-09;39,5;926
2025-02-10;129,3;3035
2025-02-11;130,5;3048
2025-02-12;128,4;3043
2025-02-13;129,9;3070
2025-02-14;122,0;2899
2025-02-15;60,0;1450
2025-02-16;38,4;893
2025-02-17;127,6;3078
2025-02-18;140,0;3302
2025-02-19;128,3;3117
2025-02-20;127,6;3129
2025-02-21;117,7;2884
2025-02-22;65,4;1576
2025-02-23;42,3;1001
2025-02-24;125,7;2979
2025-02-25;135,9;3213
2025-02-26;165,5;4015
2025-02-27;155,1;3750
2025-02-28;153,9;3660
2025-03-01;62,9;1524
2025-03-02;43,0;1053
2025-03-03;141,3;3302
2025-03-04;155,6;3618
2025-03-05;142,7;3474
2025-03-06;137,2;3323
2025-03-07;138,3;3251
2025-03-08;67,9;1584
2025-03-09;44,6;1075
2025-03-10;140,5;3376
2025-03-11;143,7;3399
2025-03-12;145,7;3449
2025-03-13;143,5;3401
2025-03-14;137,2;3267
2025-03-15;71,2;1653
2025-03-16;44,6;1032
2025-03-17;141,3;3455
2025-03-18;149,9;3545
2025-03-19;145,2;3428
2025-03-20;138,6;3205
2025-03-21;136,5;3305
2025-03-22;73,0;1759
2025-03-23;46,7;1141
2025-03-24;141,4;3274
2025-03-25;149,9;3468
2025-03-26;135,7;3197
2025-03-27;138,5;3334
2025-03-28;133,6;3244
2025-03-29;87,1;2084
2025-03-30;57,0;1361
2025-03-31;176,4;4204
2025-04-01;140,9;3385
2025-04-02;132,6;3126
2025-04-03;153,6;3648
2025-04-04;134,9;3223
2025-04-05;75,6;1772
2025-04-06;47,0;1134
2025-04-07;148,5;3540
2025-04-08;149,2;3593
2025-04-09;152,0;3533
2025-04-10;152,0;3554
2025-04-11;139,3;3257
2025-04-12;73,5;1760
2025-04-13;46,6;1121
2025-04-14;141,0;3435
2025-04-15;152,4;3591
2025-04-16;145,4;3456
2025-04-17;148,9;3466
2025-04-18;141,2;3343
2025-04-19;71,4;1696
2025-04-20;46,0;1116
2025-04-21;144,1;3334
2025-04-22;151,3;3622
2025-04-23;147,7;3619
2025-04-24;138,3;3345
2025-04-25;141,8;3324
2025-04-26;73,8;1782
2025-04-27;47,0;1151
2025-04-28;178,4;4162
2025-04-29;183,5;4258
2025-04-30;184,0;4369
2025-05-01;126,3;2944
2025-05-02;116,8;2708
2025-05-03;69,9;1695
2025-05-04;44,6;1092
2025-05-05;144,7;3546
2025-05-06;137,6;3179
2025-05-07;133,5;3247
2025-05-08;136,8;3221
2025-05-09;124,9;2946
2025-05-10;68,5;1643
2025-05-11;42,0;988
2025-05-12;125,6;2976
2025-05-13;143,4;3398
2025-05-14;141,2;3265
2025-05-15;139,8;3333
2025-05-16;124,1;2901
2025-05-17;68,9;1640
2025-05-18;43,1;1041
2025-05-19;132,1;3072
2025-05-20;143,7;3321
2025-05-21;141,2;3419
2025-05-22;137,6;3243
2025-05-23;129,9;3094
2025-05-24;66,4;1563
2025-05-25;43,4;1050
2025-05-26;145,7;3431
2025-05-27;138,3;3267
2025-05-28;135,2;3274
2025-05-29;171,9;4186
2025-05-30;159,6;3719
2025-05-31;83,5;1949
2025-06-01;44,0;1050
2025-06-02;138,4;3365
2025-06-03;166,4;3863
2025-06-04;169,8;4071
2025-06-05;151,1;3602
2025-06-06;147,6;3500
2025-06-07;81,5;1995
2025-06-08;52,6;1265
2025-06-09;156,4;3764
2025-06-10;164,7;4033
2025-06-11;163,1;3880
2025-06-12;157,9;3849
2025-06-13;148,0;3474
2025-06-14;79,6;1867
2025-06-15;50,2;1220
2025-06-16;166,3;3915
2025-06-17;170,8;4057
2025-06-18;166,7;3896
2025-06-19;159,6;3729
2025-06-20;152,1;3528
2025-06-21;82,6;1925
2025-06-22;52,8;1253
2025-06-23;150,6;3658
2025-06-24;164,9;3995
2025-06-25;156,3;3609
2025-06-26;163,2;3801
2025-06-27;158,1;3704
2025-06-28;97,6;2330
2025-06-29;61,4;1436
2025-06-30;201,6;4689
2025-07-01;138,5;3266
2025-07-02;138,8;3390
2025-07-03;153,5;3600
2025-07-04;143,7;3364
2025-07-05;78,9;1918
2025-07-06;52,1;1251
2025-07-07;149,0;3578
2025-07-08;165,0;3866
2025-07-09;161,6;3814
2025-07-10;159,0;3786
2025-07-11;148,2;3496
2025-07-12;74,4;1725
2025-07-13;49,5;1153
2025-07-14;153,2;3700
2025-07-15;160,4;3822
2025-07-16;152,4;3532
2025-07-17;156,5;3751
2025-07-18;141,1;3437
2025-07-19;76,7;1804
2025-07-20;48,1;1126
2025-07-21;153,5;3750
2025-07-22;154,6;3666
2025-07-23;156,1;3719
2025-07-24;159,0;3851
2025-07-25;138,4;3197
2025-07-26;78,5;1883
2025-07-27;45,8;1088
2025-07-28;146,2;3484
2025-07-29;203,7;4717
2025-07-30;194,6;4728
2025-07-31;187,0;4534
2025-08-01;128,1;3023
2025-08-02;62,3;1442
2025-08-03;44,7;1054
2025-08-04;146,9;3418
2025-08-05;143,8;3395
2025-08-06;141,4;3427
2025-08-07;143,6;3324
2025-08-08;133,6;3140
2025-08-09;71,0;1664
2025-08-10;48,5;1156
2025-08-11;145,3;3493
2025-08-12;155,2;3712
2025-08-13;151,7;3594
2025-08-14;142,2;3409
2025-08-15;136,6;3319
2025-08-16;72,2;1673
2025-08-17;44,6;1065
2025-08-18;132,0;3176
2025-08-19;151,0;3677
2025-08-20;151,0;3499
2025-08-21;147,8;3428
2025-08-22;142,4;3492
2025-08-23;73,7;1745
2025-08-24;46,2;1092
2025-08-25;143,9;3480
2025-08-26;150,2;3479
2025-08-27;151,0;3591
2025-08-28;150,7;3647
2025-08-29;173,4;4008
2025-08-30;87,1;2078
2025-08-31;57,3;1374
2025-09-01;139,0;3286
2025-09-02;148,6;3565
2025-09-03;163,7;3899
2025-09-04;155,5;3785
2025-09-05;158,7;3845
2025-09-06;76,2;1771
2025-09-07;45,2;1060
2025-09-08;148,6;3511
2025-09-09;162,6;3848
2025-09-10;151,5;3686
2025-09-11;157,6;3849
2025-09-12;153,3;3726
2025-09-13;73,5;1721
2025-09-14;49,6;1167
2025-09-15;162,9;3772
2025-09-16;158,4;3882
2025-09-17;155,5;3793
2025-09-18;154,7;3699
2025-09-19;148,8;3479
2025-09-20;80,5;1925
2025-09-21;49,2;1177
2025-09-22;154,0;3729
2025-09-23;159,9;3703
2025-09-24;151,8;3513
2025-09-25;165,6;4035
2025-09-26;141,8;3316
2025-09-27;71,5;1702
2025-09-28;64,0;1540
2025-09-29;183,0;4400
2025-09-30;198,4;4677
2025-10-01;134,0;3213
2025-10-02;144,3;3399
2025-10-03;162,0;3953
2025-10-04;76,3;1794
2025-10-05;51,1;1247
2025-10-06;155,3;3786
2025-10-07;165,9;3904
2025-10-08;155,7;3681
2025-10-09;154,2;3754
2025-10-10;153,0;3703
2025-10-11;79,1;1885
2025-10-12;49,6;1170
2025-10-13;162,6;3815
2025-10-14;168,1;4048
2025-10-15;155,7;3751
2025-10-16;159,5;3711
2025-10-17;159,4;3795
2025-10-18;78,8;1821
2025-10-19;49,1;1137
2025-10-20;155,0;3759
2025-10-21;157,5;3784
2025-10-22;169,1;4138
2025-10-23;161,6;3764
2025-10-24;152,7;3682
2025-10-25;80,7;1975
2025-10-26;52,7;1233
2025-10-27;158,1;3656
2025-10-28;159,6;3718
2025-10-29;197,3;4715
2025-10-30;201,4;4794
2025-10-31;181,5;4255
2025-11-01;70,0;1674
2025-11-02;45,6;1069
2025-11-03;172,9;4139
2025-11-04;163,3;3915
2025-11-05;164,6;4010
2025-11-06;159,9;3793
2025-11-07;163,2;3850
2025-11-08;82,1;1960
2025-11-09;51,7;1222
2025-11-10;156,9;3630
2025-11-11;176,5;4148
2025-11-12;175,4;4286
2025-11-13;160,3;3879
2025-11-14;156,4;3660
2025-11-15;80,6;1931
2025-11-16;50,9;1237
2025-11-17;164,9;3812
2025-11-18;172,4;4149
2025-11-19;159,8;3916
2025-11-20;165,6;3934
2025-11-21;155,5;3604
2025-11-22;83,3;2011
2025-11-23;53,7;1259
2025-11-24;167,6;4057
2025-11-25;169,0;4033
2025-11-26;177,5;4215
2025-11-27;157,6;3844
2025-11-28;192,4;4705
2025-11-29;104,0;2442
2025-11-30;62,7;1485
2025-12-01;164,7;3949
2025-12-02;178,8;4184
2025-12-03;196,7;4677
2025-12-04;184,0;4384
2025-12-05;171,7;4184
2025-12-06;92,1;2194
2025-12-07;59,2;1389
2025-12-08;186,6;4326
2025-12-09;199,4;4712
2025-12-10;180,1;4289
2025-12-11;181,3;4192
2025-12-12;181,2;4346
2025-12-13;94,8;2202
2025-12-14;58,2;1386
2025-12-15;188,1;4565
2025-12-16;192,4;4622
2025-12-17;187,9;4550
2025-12-18;194,1;4562
2025-12-19;180,9;4377
2025-12-20;94,2;2251
2025-12-21;58,3;1367
2025-12-22;184,7;4474
2025-12-23;198,5;4842
2025-12-24;191,7;4673
2025-12-25;190,2;4614
2025-12-26;179,1;4309
2025-12-27;89,9;2153
2025-12-28;56,0;1319
2025-12-29;227,9;5392
2025-12-30;232,3;5543
2025-12-31;236,7;5630
2026-01-01;111,0;2584
2026-01-02;98,6;2381
2026-01-03;61,6;1431
2026-01-04;38,8;913
2026-01-05;124,4;2937
2026-01-06;131,1;3176
2026-01-07;126,7;2988
2026-01-08;117,4;2871
2026-01-09;123,2;2920
2026-01-10;61,2;1467
2026-01-11;37,6;893
2026-01-12;117,2;2816
2026-01-13;126,9;2995
2026-01-14;123,1;2896
2026-01-15;123,4;3002
2026-01-16;120,5;2908
2026-01-17;60,3;1478
2026-01-18;38,7;933
2026-01-19;115,9;2825
2026-01-20;126,0;2914
2026-01-21;130,9;3186
2026-01-22;122,2;2856
2026-01-23;121,3;2942
2026-01-24;61,2;1482
2026-01-25;39,7;959
2026-01-26;125,0;2969
2026-01-27;129,4;3162
2026-01-28;119,5;2813
2026-01-29;154,9;3646
2026-01-30;138,7;3272
2026-01-31;75,3;1815
2026-02-01;37,7;873
2026-02-02;115,9;2731
2026-02-03;128,0;3005
2026-02-04;134,9;3297
2026-02-05;131,7;3119
2026-02-06;124,5;2976
2026-02-07;64,8;1580
2026-02-08;39,7;929
2026-02-09;128,3;3120
2026-02-10;135,3;3258
2026-02-11;126,2;3082
2026-02-12;122,7;2883
2026-02-13;121,3;2930
2026-02-14;64,9;1553
2026-02-15;38,3;890
2026-02-16;130,6;3150
2026-02-17;137,6;3331
2026-02-18;137,7;3338
2026-02-19;126,2;3064
2026-02-20;119,7;2832
2026-02-21;63,8;1514
2026-02-22;41,5;969
2026-02-23;129,8;3015
2026-02-24;135,3;3210
2026-02-25;135,3;3232
2026-02-26;170,7;4003
2026-02-27;155,6;3766
2026-02-28;78,4;1876
2026-03-01;37,2;891
2026-03-02;116,5;2834
2026-03-03;145,8;3466
2026-03-04;139,4;3267
2026-03-05;135,8;3325
2026-03-06;126,8;3094
2026-03-07;66,5;1544
2026-03-08;43,7;1035
2026-03-09;137,3;3363
2026-03-10;139,6;3420
2026-03-11;144,4;3352
2026-03-12;135,0;3238
2026-03-13;128,3;3109
2026-03-14;64,8;1547
2026-03-15;44,0;1058
2026-03-16;127,8;3063
2026-03-17;137,1;3172
2026-03-18;130,8;3174
2026-03-19;133,4;3205
2026-03-20;131,6;3106
2026-03-21;66,4;1584
2026-03-22;42,3;1032
2026-03-23;136,7;3259
2026-03-24;140,4;3400
2026-03-25;129,9;3111
2026-03-26;138,0;3217
2026-03-27;131,4;3040
