ID карты;Дата выдачи;Канал оформления;Тарифный план;Регион;Кредитный лимит;Дата первой покупки;Оборот за 30 дней;Оборот за 90 дней;Статус
CARD-100774;22.07.2025;Мобильное приложение;Премиальный;Южный;75000.00;2025-08-13;35855,58;65035.46;Активна
CARD-102305;20.02.2025;отделение;Классический;Приволжский;300 000;н/д;;;Активна
CARD-100293;16.02.2025;Мобильное приложение;Классический;Центральный;500 000;21.02.2025;154677,62;495882,21;Активна
CARD-100800;06.03.2025;Мобильное приложение;Классический;Приволжский;200 000;18.03.2025;103262.12;304078.42;активна
CARD-101549;27.06.2025;Партнёр;Классический;Северо-Западный;150000.00;2025-09-29;0,00;16 846;Заблокирована
CARD-102310;04.06.2025;Офис банка;Классический;Южный;50000,00;11.06.2025;18180,39;30448,87;Активна
CARD-100224;19.05.2025;ОТДЕЛЕНИЕ;Премиальный;Сибирский;150000,00;2025-07-03;0,00;20807,74;активна
CARD-100348;23.06.2025;Мобильное приложение;Зарплатный;Южный;300 000;03.07.2025;143 941;306 584;Активна
CARD-100247;19.06.2025;Партнёр;Зарплатный;Южный;200000,00;14.07.2025;79 522;250341,66;Активна
CARD-101820;22.06.2025;Отделение ;Классический;Южный;100 000;30.06.2025;51 044;156 946;Активна
CARD-102271;15.04.2025;Отделение ;Зарплатный;Центральный;300000,00;18.04.2025;104963,80;323 208;Активна
CARD-100153;08.05.2025;Партнерская сеть;Зарплатный;Приволжский;150 000;24.08.2025;0,00;29 850;Активна
CARD-100230;2025-03-09;партнёрская сеть;Премиальный;Северо-Западный;200000.00;;0;0;Активна
CARD-100612;2025-05-17;Партнёр;Зарплатный;Приволжский;75 000;н/д;0;;Заблокирована
CARD-101010;12.07.2025;Сайт банка;Кэшбэк-максимум;Южный;300000.00;;0;;Активна
CARD-100039;2025-05-20;Мобильный банк;Премиальный;Северо-Западный;50000,00;н/д;;0;Активна
CARD-100547;12.03.2025;Отделение;Зарплатный;Северо-Западный;500 000;;0,00;0,00;Активна
CARD-102152;30.04.2025;сайт банка;Классический;Южный;200000.00;2025-05-14;65666,17;187 477;Активна
CARD-100709;19.06.2025;МП;Классический;Центральный;75 000;07.07.2025;18 233;49523.01;Активна
CARD-101213;19.04.2025;МП;Кэшбэк-максимум;Центральный;500000,00;08.05.2025;220102,49;488 956;Активна
CARD-100701;11.07.2025;Мобильное приложение;Зарплатный;Приволжский;300000.00;;0;0;активна
CARD-102389;07.05.2025;ОТДЕЛЕНИЕ;Кэшбэк-максимум;Сибирский;100000.00;;0;0;Закрыта
CARD-101790;12.04.2025;Партнерская сеть;Премиальный;Сибирский;50 000;03.05.2025;24 658;78511,28;Активна
CARD-101385;2025-03-24;Мобильное приложение;Зарплатный;Южный;200000,00;09.04.2025;68 741;113306.19;Активна
CARD-101752;2025-06-04;Мобильное приложение;Зарплатный;Сибирский;50 000;02.07.2025;4 101;7 166;Заблокирована
CARD-100695;14.05.2025;Отделение ;Классический;Сибирский;500000,00;н/д;;;Активна
CARD-100483;2025-06-17;Мобильный банк;Классический;Центральный;50 000;15.07.2025;14 945;32434.34;Активна
CARD-100754;10.03.2025;партнёрская сеть;Кэшбэк-максимум;Южный;50 000;07.07.2025;0;4 595;Активна
CARD-101891;04.06.2025;мобильное приложение;Кэшбэк-максимум;Сибирский;150 000;;;0;Активна
CARD-100706;29.05.2025;отделение;Кэшбэк-максимум;Центральный;75000,00;;;;Активна
CARD-101623;18.06.2025;Мобильное приложение;Зарплатный;Южный;300000.00;15.07.2025;27797,33;53331.90;Активна
CARD-101087;24.05.2025;партнёрская сеть;Зарплатный;Северо-Западный;500000,00;2025-05-30;236 311;515 586;Активна
CARD-101016;18.02.2025;мобильное приложение;Классический;Северо-Западный;200 000;;0;0,00;Активна
CARD-100169;2025-05-19;сайт банка;Зарплатный;Сибирский;50 000;;0;0,00;Активна
CARD-101614;2025-07-26;сайт банка;Зарплатный;Приволжский;100 000;02.08.2025;48607,16;150048,75;Закрыта
CARD-101800;18.03.2025;Сайт банка;Классический;Центральный;150000,00;20.03.2025;24053.03;42 237;Активна
CARD-100096;22.04.2025;Мобильное приложение;Классический;Приволжский;100000,00;27.04.2025;31331.64;103 305;Активна
CARD-100363;30.07.2025;Мобильное приложение;Зарплатный;Сибирский;500000,00;31.07.2025;209 111;411173.66;Активна
CARD-100325;03.04.2025;Отделение ;Классический;Сибирский;150 000;05.07.2025;0,00;9 071;Активна
CARD-102382;15.04.2025;мобильное приложение;Классический;Центральный;150 000;04.05.2025;38778.73;96 427;Активна
CARD-102160;2025-07-11;сайт банка;Классический;Приволжский;75000.00;01.08.2025;32 443;82273.03;Активна
CARD-100130;11.03.2025;мобильное приложение;Зарплатный;Приволжский;500 000;15.03.2025;226109.88;489 492;Активна
CARD-101574;15.03.2025;Сайт банка;Кэшбэк-максимум;Приволжский;200 000;11.04.2025;80 376;180 983;Активна
CARD-102111;29.04.2025;Отделение;Классический;Приволжский;50 000;2025-05-13;8083,14;26013.20;Активна
CARD-101918;22.05.2025;Отделение ;Классический;Приволжский;150 000;;;0,00;Закрыта
CARD-101126;29.01.2025;мобильное приложение;Классический;Сибирский;300000,00;2025-05-03;;30 528;активна
CARD-100764;16.07.2025;Партнёрская сеть;Премиальный;Северо-Западный;100000,00;н/д;;0,00;Активна
CARD-100677;13.03.2025;МП;Премиальный;Северо-Западный;150000.00;01.04.2025;59246,22;163718,04;Активна
CARD-101745;28.02.2025;Мобильное приложение;Зарплатный;Сибирский;300000.00;;0;0;Активна
CARD-100055;2025-07-22;сайт банка;Классический;Центральный;75 000;08.08.2025;13016,93;32741.38;Активна
CARD-100622;07.06.2025;мобильное приложение;Классический;Центральный;300 000;21.06.2025;65 671;166 878;Активна
CARD-100214;16.07.2025;Отделение;Зарплатный;Северо-Западный;150 000;;;;Активна
CARD-100676;2025-06-13;Мобильный банк;Зарплатный;Приволжский;50000,00;2025-06-14;24515.61;58157.33;Активна
CARD-100232;13.02.2025;Офис банка;Классический;Южный;150 000;09.03.2025;49 936;133416.87;активна
CARD-100654;20.07.2025;Партнерская сеть;Премиальный;Южный;75000.00;04.08.2025;21088,99;44 613;Активна
CARD-101678;09.02.2025;отделение;Кэшбэк-максимум;Центральный;300000,00;;;;Активна
CARD-100550;23.03.2025;Офис банка;Зарплатный;Южный;100000.00;2025-04-04;19 474;61 636;Активна
CARD-100847;17.04.2025;МП;Классический;Центральный;50000,00;н/д;0,00;0;Активна
CARD-101548;2025-07-03;Сайт банка;Премиальный;Приволжский;500 000;;0;0,00;Активна
CARD-102220;2025-04-19;отделение;Зарплатный;Южный;75000,00;2025-04-21;16028,00;28082.96;Активна
CARD-100277;23.03.2025;мобильное приложение;Зарплатный;Сибирский;75 000;14.04.2025;22313,07;55 241;Активна
CARD-101023;2025-04-30;отделение;Классический;Центральный;200000,00;;;0;Активна
CARD-101784;14.04.2025;Офис банка;Зарплатный;Южный;50 000;05.05.2025;9526,65;16 680;Активна
CARD-101257;2025-02-25;Мобильное приложение;Классический;Северо-Западный;100000,00;11.03.2025;35 458;115202.96;Активна
CARD-100218;06.06.2025;Отделение ;Классический;Центральный;150000,00;;0,00;0,00;Активна
CARD-100461;13.04.2025;партнёрская сеть;Зарплатный;Центральный;200 000;04.05.2025;73362,51;127613,49;Активна
CARD-100749;26.01.2025;Мобильный банк;Классический;Северо-Западный;75000,00;2025-02-19;32790.32;74727,62;Активна
CARD-101687;11.04.2025;МП;Классический;Приволжский;50000,00;н/д;0;0,00;Активна
CARD-101426;22.04.2025;МП;Премиальный;Сибирский;200000.00;27.04.2025;66 400;214519.95;Активна
CARD-101702;17.02.2025;Офис банка;Классический;Центральный;300 000;н/д;0;;Заблокирована
CARD-101230;15.04.2025;отделение;Кэшбэк-максимум;Приволжский;75000.00;;0;0;активна
CARD-100181;16.04.2025;мобильное приложение;Зарплатный;Сибирский;300 000;2025-05-10;40 805;71 182;Активна
CARD-101528;24.06.2025;Отделение;Зарплатный;Сибирский;150 000;н/д;;;Активна
CARD-101994;2025-05-16;Мобильное приложение;Премиальный;Северо-Западный;75000,00;18.05.2025;20180,25;39 593;Активна
CARD-102052;17.06.2025;партнёрская сеть;Классический;Центральный;100000,00;11.07.2025;13886,03;30807,50;Активна
CARD-100993;13.06.2025;МП;Кэшбэк-максимум;Южный;200 000;н/д;0;;активна
CARD-101874;24.01.2025;мобильное приложение;Премиальный;Приволжский;150000,00;18.02.2025;43781.12;97351,38;Активна
CARD-100899;2025-01-22;Офис банка;Кэшбэк-максимум;Приволжский;50000,00;2025-02-15;13608.57;42132.29;Активна
CARD-101625;18.03.2025;мобильное приложение;Зарплатный;Центральный;75000,00;;0;0,00;Активна
CARD-101768;07.03.2025;Отделение ;Кэшбэк-максимум;Центральный;500000.00;;0,00;0;Заблокирована
CARD-100839;05.06.2025;Отделение;Классический;Центральный;200 000;07.06.2025;23509.28;39 055;Активна
CARD-100064;28.07.2025;партнёрская сеть;Классический;Северо-Западный;50 000;н/д;0;0,00;активна
CARD-100449;06.03.2025;сайт банка;Классический;Сибирский;150 000;;0;0;Закрыта
CARD-100876;28.02.2025;мобильное приложение;Зарплатный;Северо-Западный;150 000;2025-03-08;28034,15;57 729;Активна
CARD-101192;2025-05-07;Офис банка;Зарплатный;Сибирский;50000.00;02.06.2025;8 279;19200.53;Заблокирована
CARD-100904;29.07.2025;сайт банка;Кэшбэк-максимум;Южный;500 000;2025-08-12;186 693;308 459;Активна
CARD-101200;05.02.2025;Отделение;Премиальный;Северо-Западный;75000.00;26.02.2025;15 435;39 524;Активна
CARD-100938;24.07.2025;Отделение ;Премиальный;Приволжский;150000.00;2025-07-29;39 377;81882.88;Активна
CARD-101120;15.03.2025;Мобильный банк;Классический;Центральный;75000,00;2025-04-02;17 118;42469,96;Активна
CARD-101946;08.07.2025;Отделение;Кэшбэк-максимум;Центральный;500000.00;н/д;0;0;Активна
CARD-100579;28.03.2025;Партнерская сеть;Премиальный;Приволжский;50000.00;;0,00;0,00;Активна
CARD-100234;2025-01-27;МП;Премиальный;Северо-Западный;200000,00;08.02.2025;77 998;211 461;активна
CARD-101638;2025-06-16;мобильное приложение;Кэшбэк-максимум;Северо-Западный;50000,00;17.06.2025;18516,55;38105.81;Активна
CARD-100020;21.06.2025;Партнерская сеть;Кэшбэк-максимум;Сибирский;300000,00;22.06.2025;49 196;114 603;Активна
CARD-102120;07.06.2025;Отделение ;Классический;Южный;150 000;;0,00;0;Активна
CARD-101732;2025-07-15;Отделение;Зарплатный;Центральный;300 000;2025-08-01;151722.28;350204,85;Активна
CARD-101465;2025-05-29;Офис банка;Классический;Южный;150 000;31.05.2025;40 170;125417,70;активна
CARD-101431;09.07.2025;Партнёрская сеть;Классический;Северо-Западный;200 000;;0,00;;Активна
CARD-102103;26.07.2025;Партнерская сеть;Премиальный;Приволжский;200000,00;;0;0,00;Активна
CARD-101741;14.03.2025;МП;Кэшбэк-максимум;Центральный;200 000;13.06.2025;0,00;12 416;Активна
CARD-101527;29.06.2025;Партнёр;Зарплатный;Центральный;50 000;;0;;Активна
CARD-100962;27.05.2025;ОТДЕЛЕНИЕ;Премиальный;Сибирский;200000,00;н/д;0,00;0,00;Активна
CARD-101224;2025-06-30;Отделение;Зарплатный;Центральный;75000,00;07.07.2025;30083,39;57462,74;Активна
CARD-101583;04.06.2025;Веб-сайт;Кэшбэк-максимум;Приволжский;100000,00;;;;Активна
CARD-101393;04.02.2025;партнёрская сеть;Кэшбэк-максимум;Приволжский;150 000;;0,00;0;Активна
CARD-100390;28.02.2025;Сайт банка;Зарплатный;Приволжский;300000.00;07.03.2025;30 020;62 688;Активна
CARD-101541;2025-04-04;МП;Зарплатный;Центральный;50000.00;;0,00;0,00;Активна
CARD-100446;14.01.2025;ОТДЕЛЕНИЕ;Зарплатный;Сибирский;200 000;21.01.2025;109 482;231 676;Активна
CARD-101123;14.01.2025;МП;Зарплатный;Северо-Западный;50 000;12.02.2025;26480.50;48 751;Активна
CARD-100671;04.04.2025;Мобильный банк;Зарплатный;Центральный;150 000;13.04.2025;22657,74;57375.44;Активна
CARD-102058;11.05.2025;ОТДЕЛЕНИЕ;Кэшбэк-максимум;Приволжский;50 000;;;0;Активна
CARD-102038;01.07.2025;Партнёр;Зарплатный;Северо-Западный;100 000;07.07.2025;40745,59;70212.45;Активна
CARD-100928;14.06.2025;Мобильный банк;Классический;Центральный;75000,00;;0,00;;Активна
CARD-100501;2025-04-04;мобильное приложение;Зарплатный;Приволжский;50 000;17.04.2025;12400.32;39191.69;Активна
CARD-102016;04.04.2025;Сайт банка;Кэшбэк-максимум;Северо-Западный;150000.00;11.04.2025;68826,81;151 737;активна
CARD-100500;2025-06-11;Отделение;Классический;Северо-Западный;500 000;;0;;Заблокирована
CARD-101939;07.03.2025;Отделение;Классический;Южный;150000.00;;0;;Заблокирована
CARD-100482;2025-01-24;Веб-сайт;Классический;Северо-Западный;75000.00;26.01.2025;8 225;24314.78;активна
CARD-102148;08.03.2025;МП;Кэшбэк-максимум;Сибирский;150000,00;2025-03-24;30796.66;84 372;активна
CARD-101999;07.07.2025;МП;Классический;Центральный;100 000;08.07.2025;9 468;28839.16;Активна
CARD-100321;13.02.2025;мобильное приложение;Классический;Северо-Западный;100000,00;2025-04-17;0,00;6939,99;Активна
CARD-101635;12.03.2025;МП;Кэшбэк-максимум;Приволжский;150000.00;;0;0;Активна
CARD-100030;14.03.2025;МП;Премиальный;Центральный;150 000;2025-04-05;49 626;146 316;Активна
CARD-101165;2025-04-27;мобильное приложение;Классический;Центральный;300000.00;13.05.2025;150500,25;387659,37;Активна
CARD-100920;15.01.2025;Партнёрская сеть;Классический;Приволжский;300000,00;02.02.2025;62292,98;176512.88;Активна
CARD-101113;12.07.2025;Партнёрская сеть;Кэшбэк-максимум;Сибирский;100 000;;0;0,00;Активна
CARD-101047;2025-04-14;отделение;Кэшбэк-максимум;Приволжский;300 000;;0,00;0;Заблокирована
CARD-101056;17.04.2025;мобильное приложение;Кэшбэк-максимум;Южный;200000,00;06.05.2025;88539.03;214411.40;Закрыта
CARD-101156;12.04.2025;Мобильное приложение;Классический;Сибирский;50 000;2025-04-20;6 223;13863,85;Закрыта
CARD-102341;21.04.2025;МП;Зарплатный;Южный;150000,00;24.04.2025;16 709;43 781;Активна
CARD-101511;10.04.2025;ОТДЕЛЕНИЕ;Зарплатный;Сибирский;300000,00;12.04.2025;115 415;210212,59;Активна
CARD-100373;23.04.2025;партнёрская сеть;Классический;Приволжский;500000,00;;;0;Активна
CARD-101254;15.04.2025;сайт банка;Зарплатный;Южный;300000.00;;0,00;0;Заблокирована
CARD-102026;14.02.2025;Офис банка;Зарплатный;Приволжский;300000.00;;0,00;;Активна
CARD-100885;25.01.2025;МП;Классический;Приволжский;150 000;н/д;0,00;0,00;Активна
CARD-100836;2025-03-28;Веб-сайт;Классический;Центральный;200 000;07.06.2025;0;23 905;Активна
CARD-100302;10.03.2025;Мобильное приложение;Классический;Приволжский;300000.00;н/д;;0;Активна
CARD-101308;2025-06-03;партнёрская сеть;Классический;Северо-Западный;50000.00;;0,00;0,00;Активна
CARD-100134;2025-02-25;сайт банка;Классический;Северо-Западный;300 000;15.06.2025;0;33107,88;Активна
CARD-102229;02.05.2025;Мобильный банк;Зарплатный;Центральный;150 000;2025-05-09;13 724;31 918;Активна
CARD-100017;2025-01-30;мобильное приложение;Классический;Приволжский;100 000;;0,00;;активна
CARD-100252;2025-07-12;Отделение ;Классический;Приволжский;75000.00;16.07.2025;21333,95;41305,53;Активна
CARD-100121;2025-04-23;мобильное приложение;Классический;Центральный;100000.00;22.05.2025;19 482;50643,39;Заблокирована
CARD-101206;21.06.2025;Партнерская сеть;Зарплатный;Центральный;150 000;20.09.2025;;11506.95;Активна
CARD-101893;30.01.2025;Мобильное приложение;Зарплатный;Приволжский;50 000;2025-02-12;13445.27;34472.11;Активна
CARD-100165;2025-03-25;отделение;Классический;Северо-Западный;100000.00;26.04.2025;0,00;8131,62;Активна
CARD-102040;01.08.2025;МП;Премиальный;Приволжский;150000.00;н/д;;0,00;Активна
CARD-100730;16.06.2025;Мобильный банк;Зарплатный;Южный;100 000;н/д;0,00;;Активна
CARD-100253;30.01.2025;мобильное приложение;Классический;Центральный;300000,00;25.02.2025;97216.63;286780,75;Заблокирована
CARD-101603;12.05.2025;ОТДЕЛЕНИЕ;Классический;Сибирский;300000.00;01.06.2025;50 241;130 690;Активна
CARD-100474;15.02.2025;сайт банка;Премиальный;Сибирский;100000,00;н/д;0;0;Закрыта
CARD-101188;2025-06-05;Партнёр;Классический;Северо-Западный;50 000;07.06.2025;22 860;55433.40;Заблокирована
CARD-100816;2025-05-10;Мобильное приложение;Зарплатный;Центральный;200000,00;20.05.2025;59126.40;179 557;Активна
CARD-101944;2025-07-12;Партнерская сеть;Кэшбэк-максимум;Центральный;500 000;10.09.2025;0,00;99560.26;Заблокирована
CARD-100305;28.01.2025;Веб-сайт;Кэшбэк-максимум;Сибирский;200 000;;0,00;0;Активна
CARD-100260;2025-04-18;Мобильный банк;Зарплатный;Южный;200000,00;;0;;Активна
CARD-100032;2025-05-28;отделение;Премиальный;Приволжский;500000,00;26.06.2025;266145,96;792 578;Активна
CARD-102332;11.07.2025;Отделение ;Премиальный;Центральный;200 000;08.08.2025;20 724;49275.17;активна
CARD-102041;16.02.2025;Партнёр;Классический;Центральный;150000,00;12.03.2025;77850.14;197449,06;Закрыта
CARD-101317;2025-04-14;ОТДЕЛЕНИЕ;Классический;Северо-Западный;75 000;17.04.2025;26252,79;88663.88;Активна
CARD-102327;2025-02-24;партнёрская сеть;Зарплатный;Центральный;500 000;;;0;Активна
CARD-101661;18.04.2025;Веб-сайт;Премиальный;Приволжский;75 000;08.07.2025;;9200.74;Активна
CARD-101282;24.01.2025;сайт банка;Классический;Северо-Западный;500000.00;н/д;0,00;0,00;активна
CARD-101099;13.04.2025;мобильное приложение;Зарплатный;Центральный;100000,00;03.05.2025;41 759;83505,45;Заблокирована
CARD-100728;2025-06-29;Сайт банка;Премиальный;Северо-Западный;100000.00;;;0,00;Активна
CARD-100337;2025-02-19;Веб-сайт;Зарплатный;Южный;500 000;06.03.2025;208 381;367082,32;Активна
CARD-101616;06.05.2025;мобильное приложение;Классический;Центральный;500000,00;31.05.2025;90836.78;277149,52;Активна
CARD-101837;01.03.2025;Веб-сайт;Премиальный;Центральный;300000.00;2025-03-06;99075,85;171660,67;Активна
CARD-101249;03.07.2025;отделение;Зарплатный;Центральный;100 000;26.07.2025;19265,99;41734.23;Активна
CARD-101425;12.03.2025;Отделение;Классический;Северо-Западный;100 000;22.03.2025;23 549;49317,66;Заблокирована
CARD-101933;2025-05-25;Сайт банка;Классический;Центральный;150000,00;21.06.2025;50062,27;165595,18;Активна
CARD-100729;2025-02-02;МП;Классический;Северо-Западный;150 000;06.02.2025;65315.32;106775,48;Заблокирована
CARD-100693;02.07.2025;отделение;Кэшбэк-максимум;Центральный;300000.00;2025-07-22;62 181;131265.01;Активна
CARD-102201;02.06.2025;МП;Классический;Центральный;75000,00;07.06.2025;17526.58;38 421;Активна
CARD-101332;16.07.2025;Отделение;Премиальный;Сибирский;50 000;;0;0;Активна
CARD-101231;26.02.2025;Партнерская сеть;Классический;Южный;500 000;03.03.2025;143 587;465 099;Заблокирована
CARD-102133;27.07.2025;Мобильное приложение;Классический;Сибирский;100000.00;2025-08-08;10755,39;27 874;Активна
CARD-101834;30.06.2025;Партнёр;Зарплатный;Центральный;300 000;10.07.2025;95 349;265 337;Активна
CARD-102032;18.02.2025;сайт банка;Зарплатный;Сибирский;300 000;04.03.2025;136790.17;380 543;Активна
CARD-101279;23.05.2025;ОТДЕЛЕНИЕ;Классический;Центральный;150 000;н/д;;0;Активна
CARD-101545;16.07.2025;Офис банка;Классический;Сибирский;75000,00;2025-08-02;36240.27;80812.59;Активна
CARD-100472;06.04.2025;Веб-сайт;Классический;Сибирский;200000,00;24.04.2025;70745,76;219136,57;Активна
CARD-102109;2025-04-09;Мобильное приложение;Кэшбэк-максимум;Сибирский;500000,00;2025-07-23;0,00;44690,41;Заблокирована
CARD-102254;05.06.2025;ОТДЕЛЕНИЕ;Зарплатный;Приволжский;75000,00;24.06.2025;33221,19;60 446;Активна
CARD-101807;08.06.2025;ОТДЕЛЕНИЕ;Классический;Северо-Западный;150000.00;;;0,00;активна
CARD-100973;24.01.2025;Партнёр;Зарплатный;Центральный;150 000;;0;0,00;Активна
CARD-100867;18.07.2025;Мобильное приложение;Зарплатный;Южный;300 000;2025-07-23;74 823;138261,97;Активна
CARD-101162;14.05.2025;Мобильное приложение;Премиальный;Сибирский;200000,00;2025-05-17;62641.21;154241.91;активна
CARD-101978;2025-03-24;МП;Классический;Северо-Западный;50000.00;н/д;;;Активна
CARD-100963;29.06.2025;МП;Классический;Приволжский;50000,00;2025-07-22;15173,89;39 731;Активна
CARD-101350;12.07.2025;Мобильное приложение;Зарплатный;Центральный;150 000;18.07.2025;76067.93;214518,88;Активна
CARD-102199;2025-06-16;Офис банка;Зарплатный;Сибирский;500 000;22.09.2025;0,00;85039,82;Активна
CARD-101070;28.03.2025;Мобильный банк;Зарплатный;Центральный;100 000;2025-06-18;0,00;7 171;активна
CARD-100301;16.05.2025;Сайт банка;Классический;Сибирский;100 000;н/д;;;Активна
CARD-100094;23.04.2025;ОТДЕЛЕНИЕ;Кэшбэк-максимум;Центральный;100 000;2025-05-21;23 892;75 804;Активна
CARD-101211;2025-02-13;Мобильный банк;Зарплатный;Сибирский;100000,00;27.02.2025;13187,03;21 485;Активна
CARD-101781;21.06.2025;ОТДЕЛЕНИЕ;Классический;Центральный;100000,00;н/д;0;0,00;активна
CARD-101053;25.03.2025;Мобильное приложение;Премиальный;Северо-Западный;150 000;28.03.2025;69 060;207 564;активна
CARD-101865;2025-01-13;Отделение ;Зарплатный;Северо-Западный;50000,00;н/д;0;;Активна
